São Tomé,0.3333,6.7333,Sao Tome And Principe,ST,São Tomé,primary,56166,56166
Trindade,0.3000,6.6667,Sao Tome And Principe,ST,São Tomé,admin,6636,6636
Santo António,1.6806,7.4394,Sao Tome And Principe,ST,Príncipe,admin,1300,1300
Nazaré,0.3667,6.7167,Sao Tome And Principe,ST,São Tomé,,,
Bombon,0.3167,6.7333,Sao Tome And Principe,ST,São Tomé,,,
Guadalupe,0.3792,6.6375,Sao Tome And Principe,ST,São Tomé,admin,,
Santana,0.2600,6.7414,Sao Tome And Principe,ST,São Tomé,admin,,
Neves,0.3586,6.5525,Sao Tome And Principe,ST,São Tomé,admin,,
São João dos Angolares,0.1342,6.6494,Sao Tome And Principe,ST,São Tomé,admin,,
Blublu,0.3167,6.7167,Sao Tome And Principe,ST,São Tomé,,,
Amparo II,0.3167,6.7167,Sao Tome And Principe,ST,São Tomé,,,
Novo Destino,0.3167,6.6333,Sao Tome And Principe,ST,São Tomé,,,
São Luís,0.3000,6.6167,Sao Tome And Principe,ST,São Tomé,,,
São Francisco,0.3167,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Java,0.2667,6.6500,Sao Tome And Principe,ST,São Tomé,,,
São Nicolau,0.2833,6.6333,Sao Tome And Principe,ST,São Tomé,,,
Macambrará,0.2667,6.6333,Sao Tome And Principe,ST,São Tomé,,,
Graça,0.3000,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Santa Adelaide,0.2667,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Saudade,0.2833,6.6333,Sao Tome And Principe,ST,São Tomé,,,
Vista Alegre,0.3167,6.6833,Sao Tome And Principe,ST,São Tomé,,,
Vila Moura,0.3000,6.6833,Sao Tome And Principe,ST,São Tomé,,,
Bemfica,0.3167,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Queluz,0.3333,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Belmonte,0.3333,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Santa Elvira,0.2667,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Madalena,0.3333,6.6667,Sao Tome And Principe,ST,São Tomé,,,
Trás os Montes,0.2667,6.6167,Sao Tome And Principe,ST,São Tomé,,,
Lemos,0.3000,6.7000,Sao Tome And Principe,ST,São Tomé,,,
Quinas,0.2667,6.6000,Sao Tome And Principe,ST,São Tomé,,,
Monte Café,0.3000,6.6500,Sao Tome And Principe,ST,São Tomé,,,
Santa Margarida,0.3333,6.6667,Sao Tome And Principe,ST,São Tomé,,,
