Riyadh,24.6500,46.7100,Saudi Arabia,SA,Ar Riyāḑ,primary,6881000,6694000
Jeddah,21.5428,39.1728,Saudi Arabia,SA,Makkah al Mukarramah,,3976000,3976000
Mecca,21.4225,39.8261,Saudi Arabia,SA,Makkah al Mukarramah,admin,1675368,1675368
Medina,24.4667,39.6000,Saudi Arabia,SA,Al Madīnah al Munawwarah,admin,1180770,1180770
Ad Dammām,26.4333,50.1000,Saudi Arabia,SA,Ash Sharqīyah,admin,903312,903312
Al Hufūf,25.3608,49.5997,Saudi Arabia,SA,Ash Sharqīyah,,637389,400000
Buraydah,26.3333,43.9667,Saudi Arabia,SA,Al Qaşīm,admin,614093,614093
Al Ḩillah,23.4895,46.7564,Saudi Arabia,SA,Ar Riyāḑ,,594605,594605
Aţ Ţā’if,21.2667,40.4167,Saudi Arabia,SA,Makkah al Mukarramah,,579970,579970
Tabūk,28.3838,36.5550,Saudi Arabia,SA,Tabūk,admin,547957,455450
Khamīs Mushayţ,18.3000,42.7333,Saudi Arabia,SA,‘Asīr,,430828,430828
Ḩā’il,27.5236,41.7001,Saudi Arabia,SA,Ḩā’il,admin,385257,385257
Al Qaţīf,26.5196,50.0115,Saudi Arabia,SA,Ash Sharqīyah,,368892,98259
Al Mubarraz,25.4100,49.5808,Saudi Arabia,SA,Ash Sharqīyah,,298562,290802
Al Kharj,24.1556,47.3120,Saudi Arabia,SA,Ar Riyāḑ,,298428,298428
Najrān,17.4917,44.1322,Saudi Arabia,SA,Najrān,admin,298288,298288
Yanbu‘,24.0943,38.0493,Saudi Arabia,SA,Al Madīnah al Munawwarah,,267590,200161
Abhā,18.2167,42.5000,Saudi Arabia,SA,‘Asīr,admin,236157,236157
Arar,30.9833,41.0167,Saudi Arabia,SA,Al Ḩudūd ash Shamālīyah,admin,167057,167057
Jāzān,16.8892,42.5611,Saudi Arabia,SA,Jāzān,admin,134764,134764
Sakākā,30.0000,40.1333,Saudi Arabia,SA,Al Jawf,admin,128332,128332
Al Bāḩah,20.0129,41.4677,Saudi Arabia,SA,Al Bāḩah,admin,95089,95089
