Belgrade,44.8167,20.4667,Serbia,RS,Beograd,primary,1378682,1378682
Novi Sad,45.2644,19.8317,Serbia,RS,Novi Sad,admin,380000,380000
Niš,43.3192,21.8961,Serbia,RS,Niš,admin,183164,183164
Zemun,44.8500,20.4000,Serbia,RS,Beograd,minor,161596,161596
Kragujevac,44.0142,20.9394,Serbia,RS,Kragujevac,admin,150623,150623
Subotica,46.0983,19.6700,Serbia,RS,Subotica,admin,105681,105681
Valjevo,44.2667,19.8833,Serbia,RS,Valjevo,admin,90312,90312
Loznica,44.5333,19.2258,Serbia,RS,Loznica,admin,86413,86413
Zrenjanin,45.3778,20.3861,Serbia,RS,Zrenjanin,admin,76511,76511
Pančevo,44.8739,20.6519,Serbia,RS,Pančevo,admin,76203,76203
Čačak,43.8914,20.3497,Serbia,RS,Čačak,admin,71883,71883
Kraljevo,43.7234,20.6870,Serbia,RS,Kraljevo,admin,66688,66688
Novi Pazar,43.1500,20.5167,Serbia,RS,Novi Pazar,admin,66527,66527
Leskovac,42.9981,21.9461,Serbia,RS,Leskovac,admin,60288,60288
Užice,43.8500,19.8500,Serbia,RS,Užice,admin,59747,59747
Kruševac,43.5833,21.3267,Serbia,RS,Kruševac,admin,58745,58745
Vranje,42.5542,21.8972,Serbia,RS,Vranje,admin,55138,55138
Sombor,45.7800,19.1200,Serbia,RS,Sombor,admin,51471,51471
Batajnica,44.9022,20.2814,Serbia,RS,Sremski Okrug,,48600,48600
Kikinda,45.8244,20.4592,Serbia,RS,Kikinda,admin,38065,38065
Prijepolje,43.5439,19.6514,Serbia,RS,Prijepolje,admin,37059,37059
Vršac,45.1206,21.2986,Serbia,RS,Vršac,admin,35701,35701
Bor,44.1303,22.1036,Serbia,RS,Bor,admin,34159,34159
Bačka Palanka,45.2506,19.3886,Serbia,RS,Bačka Palanka,admin,29449,29449
Priboj,43.5816,19.5273,Serbia,RS,Priboj,admin,27133,27133
Bajina Bašta,43.9731,19.5597,Serbia,RS,Bajina Bašta,admin,26022,26022
Vrbas,45.5697,19.6378,Serbia,RS,Vrbas,admin,24112,24112
Ćuprija,43.9231,21.3686,Serbia,RS,Ćuprija,admin,20585,20585
Senta,45.9314,20.0900,Serbia,RS,Senta,admin,20302,20302
Trstenik,43.6186,20.9972,Serbia,RS,Trstenik,admin,17180,17180
Bačka Topola,45.8089,19.6350,Serbia,RS,Bačka Topola,admin,16171,16171
Sjenica,43.2667,20.0000,Serbia,RS,Sjenica,admin,14060,14060
Bela Crkva,44.8975,21.4172,Serbia,RS,Bela Crkva,admin,10675,10675
Ada,45.8014,20.1222,Serbia,RS,Ada,admin,10547,10547
Vrnjačka Banja,43.6167,20.9000,Serbia,RS,Vrnjačka Banja,admin,10065,10065
Kanjiža,46.0667,20.0500,Serbia,RS,Kanjiža,admin,9871,9871
Žabalj,45.3667,20.0667,Serbia,RS,Žabalj,admin,9161,9161
Odžaci,45.5167,19.2667,Serbia,RS,Odžaci,admin,9021,9021
Sremski Karlovci,45.2000,19.9333,Serbia,RS,Sremski Karlovci,admin,8750,8750
Beočin,45.1922,19.7203,Serbia,RS,Beočin,admin,8058,8058
Sokobanja,43.6394,21.8694,Serbia,RS,Sokobanja,admin,7982,7982
Lapovo,44.1842,21.0973,Serbia,RS,Lapovo,admin,7143,7143
Melenci,45.5083,20.3169,Serbia,RS,Srednje Banatski Okrug,,6737,6737
Bački Petrovac,45.3564,19.5883,Serbia,RS,Bački Petrovac,admin,6727,6727
Bogatić,44.8375,19.4806,Serbia,RS,Bogatić,admin,6488,6488
Horgoš,46.1556,19.9725,Serbia,RS,Severno Banatski Okrug,,6325,6325
Bač,45.3886,19.2353,Serbia,RS,Bač,admin,6087,6087
Banatski Karlovac,45.0472,21.0161,Serbia,RS,Južno Banatski Okrug,,5820,5820
Debeljača,45.0711,20.6000,Serbia,RS,Južno Banatski Okrug,,5325,5325
Stara Moravica,45.8689,19.4661,Serbia,RS,Severno Bački Okrug,,5051,5051
Irig,45.1011,19.8583,Serbia,RS,Irig,admin,4848,4848
Čoka,45.9389,20.1394,Serbia,RS,Čoka,admin,4707,4707
Elemir,45.4425,20.3000,Serbia,RS,Srednje Banatski Okrug,,4690,4690
Ečka,45.3178,20.4389,Serbia,RS,Srednje Banatski Okrug,,4513,4513
Markovac,44.2333,21.1000,Serbia,RS,Podunavski Okrug,,4462,4462
Novi Slankamen,45.1253,20.2394,Serbia,RS,Sremski Okrug,,4125,4125
Vladimirovac,45.0331,20.8639,Serbia,RS,Južno Banatski Okrug,,4111,4111
Perlez,45.2047,20.3756,Serbia,RS,Srednje Banatski Okrug,,3818,3818
Kamenica,43.3758,21.9419,Serbia,RS,Nišavski Okrug,,3700,3700
Bašaid,45.6411,20.4142,Serbia,RS,Severno Banatski Okrug,,3503,3503
Aradac,45.3764,20.3008,Serbia,RS,Srednje Banatski Okrug,,3461,3461
Alibunar,45.0808,20.9658,Serbia,RS,Alibunar,admin,3431,3431
Vreoci,44.4387,20.2757,Serbia,RS,Beograd,,3210,3210
