Freetown,8.4833,-13.2331,Sierra Leone,SL,Western Area,primary,951000,951000
Kenema,7.8833,-11.1833,Sierra Leone,SL,Eastern,admin,188463,188463
Bo,7.9564,-11.7400,Sierra Leone,SL,Southern,admin,174354,167027
Makeni,8.8817,-12.0442,Sierra Leone,SL,Northern,admin,87679,87679
Mirimboe,8.4485,-13.2549,Sierra Leone,SL,Western Area,,,
Congo Town,8.4868,-13.2612,Sierra Leone,SL,Western Area,,,
Hill Station,8.4588,-13.2553,Sierra Leone,SL,Western Area,,,
Cockerill,8.4757,-13.2710,Sierra Leone,SL,Western Area,,,
Murray Town,8.4920,-13.2650,Sierra Leone,SL,Western Area,,,
Lumley,8.4606,-13.2698,Sierra Leone,SL,Western Area,,,
Wilberforce,8.4734,-13.2688,Sierra Leone,SL,Western Area,,,
Aberdeen,8.4912,-13.2849,Sierra Leone,SL,Western Area,,,
Tower Hill,8.4822,-13.2333,Sierra Leone,SL,Western Area,,,
Kola Tree,8.4261,-13.1610,Sierra Leone,SL,Western Area,,,
Tasso,8.5653,-13.0874,Sierra Leone,SL,Northern,,,
Kissy Bassah,8.4589,-13.1949,Sierra Leone,SL,Western Area,,,
Coldbath Town,8.4333,-13.1667,Sierra Leone,SL,Western Area,,,
Sangbalima,8.5645,-13.0650,Sierra Leone,SL,Northern,,,
Allen Town,8.4137,-13.1600,Sierra Leone,SL,Western Area,,,
Calaba Town,8.4387,-13.1633,Sierra Leone,SL,Western Area,,,
Lower Allen Town,8.4162,-13.1517,Sierra Leone,SL,Western Area,,,
Pulunmant,8.5394,-13.0875,Sierra Leone,SL,Northern,,,
Pamuronko,8.4291,-13.1522,Sierra Leone,SL,Western Area,,,
Old Wharf Wellington,8.4457,-13.1576,Sierra Leone,SL,Western Area,,,
Kola Town,8.4333,-13.1667,Sierra Leone,SL,Western Area,,,
Ro-poti,8.4694,-13.1754,Sierra Leone,SL,Western Area,,,
Kissy,8.4690,-13.1928,Sierra Leone,SL,Western Area,,,
Fisher Lane,8.4833,-13.2000,Sierra Leone,SL,Western Area,,,
Rokupa,8.4596,-13.1725,Sierra Leone,SL,Western Area,,,
Tasoku,8.5539,-13.0636,Sierra Leone,SL,Northern,,,
Wellington,8.4501,-13.1696,Sierra Leone,SL,Western Area,,,
Mayenkineh,8.4265,-13.1724,Sierra Leone,SL,Western Area,,,
Wellington Bassah,8.4525,-13.1958,Sierra Leone,SL,Western Area,,,
Mount Aureol,8.4801,-13.2190,Sierra Leone,SL,Western Area,,,
Baiama,7.8676,-11.1758,Sierra Leone,SL,Eastern,,,
Kijehun,7.8693,-11.1784,Sierra Leone,SL,Eastern,,,
Tosu,7.8847,-11.1760,Sierra Leone,SL,Eastern,,,
Gulaoma,7.8941,-11.1690,Sierra Leone,SL,Eastern,,,
Kortright,8.4737,-13.2098,Sierra Leone,SL,Western Area,,,
Petema,7.8567,-11.1852,Sierra Leone,SL,Eastern,,,
Gombo,7.9021,-11.1676,Sierra Leone,SL,Eastern,,,
Manjama,7.9344,-11.7364,Sierra Leone,SL,Southern,,,
Bassa,8.4389,-13.1847,Sierra Leone,SL,Western Area,,,
Mendewa,7.9355,-11.7436,Sierra Leone,SL,Southern,,,
Sefadu,8.6500,-10.9833,Sierra Leone,SL,Eastern,,,
Koidu,8.6439,-10.9717,Sierra Leone,SL,Eastern,,,
Pujehun,7.8537,-11.1769,Sierra Leone,SL,Eastern,,,
Leicester,8.4604,-13.2192,Sierra Leone,SL,Western Area,,,
Koeyor,8.6468,-10.9497,Sierra Leone,SL,Eastern,,,
Gbomboma,7.9729,-11.7616,Sierra Leone,SL,Southern,,,
Port Loko,8.7667,-12.7833,Sierra Leone,SL,Northern,admin,,
Jui,8.4121,-13.1293,Sierra Leone,SL,Western Area,,,
