Singapore,1.3000,103.8000,Singapore,SG,Central Singapore,primary,5745000,5638700
Keat Hong Village,1.3778,103.7442,Singapore,SG,South West,,,
Choa Chu Kang New Town,1.3833,103.7500,Singapore,SG,South West,,,
Bukit Panjang Estate,1.3817,103.7525,Singapore,SG,South West,,,
Jalan Kayu,1.3972,103.8719,Singapore,SG,Central Singapore,,,
Bukit Sembawang Estate,1.3956,103.8692,Singapore,SG,Central Singapore,,,
Kampong Serangoon Kechil,1.3900,103.9072,Singapore,SG,North East,,,
Kampong Cutforth,1.3819,103.7364,Singapore,SG,South West,,,
Mok Peng Hiang Estate,1.4456,103.7969,Singapore,SG,North West,,,
Woodlands New Town,1.4363,103.7867,Singapore,SG,North West,,,
Kampong Pinang,1.3811,103.8942,Singapore,SG,Central Singapore,,,
Serangoon,1.3756,103.8972,Singapore,SG,Central Singapore,,,
Kampong Sungai Tengah,1.3833,103.9000,Singapore,SG,Central Singapore,,,
Kampong Tongkang Pechah,1.3900,103.8764,Singapore,SG,Central Singapore,,,
Kampong Teban,1.3786,103.9078,Singapore,SG,North East,,,
Kangkar,1.3761,103.9017,Singapore,SG,North East,,,
Jurong Town,1.3342,103.7228,Singapore,SG,South West,,,
Kampong Ulu Jurong,1.3500,103.7167,Singapore,SG,South West,,,
Seletar Hills Estate,1.3844,103.8681,Singapore,SG,Central Singapore,,,
Tay Keng Loon Estate,1.4533,103.7989,Singapore,SG,North West,,,
Matilda Estate,1.3994,103.9028,Singapore,SG,Central Singapore,,,
Bukit Panjang New Town,1.3808,103.7625,Singapore,SG,South West,,,
Kampong Beremban,1.3814,103.9158,Singapore,SG,North East,,,
Marsiling,1.4411,103.7708,Singapore,SG,North West,,,
Chia Keng,1.3600,103.8917,Singapore,SG,Central Singapore,,,
Somapah Serangoon,1.3667,103.8833,Singapore,SG,Central Singapore,,,
Jurong West,1.3445,103.7068,Singapore,SG,South West,,,
Boon Lay,1.3333,103.7000,Singapore,SG,South West,,,
Kampong Chai Chee,1.3333,103.9333,Singapore,SG,South East,,,
Ulu Bedok,1.3333,103.9333,Singapore,SG,South East,,,
Kampong Pachitan,1.3167,103.9167,Singapore,SG,South East,,,
Bedok New Town,1.3236,103.9273,Singapore,SG,South East,,,
Kampong Sireh,1.3500,103.8833,Singapore,SG,Central Singapore,,,
Bedok Ville,1.3244,103.9544,Singapore,SG,South East,,,
Kampong Bukit Panjang,1.3836,103.7600,Singapore,SG,South West,,,
Kampong Lew Lian,1.3500,103.8667,Singapore,SG,Central Singapore,,,
Marsiling Estate,1.4297,103.7675,Singapore,SG,North West,,,
Yio Chu Kang Estate,1.3897,103.8539,Singapore,SG,North West,,,
Yio Chu Kang,1.3911,103.8514,Singapore,SG,North West,,,
Ang Mo Kio New Town,1.3803,103.8397,Singapore,SG,North West,,,
Kampong Amoy Quee,1.3833,103.8500,Singapore,SG,Central Singapore,,,
Singapore United Plantation,1.3792,103.8578,Singapore,SG,Central Singapore,,,
Kampong Ladang,1.3333,103.9000,Singapore,SG,Central Singapore,,,
Kampong Ubi,1.3167,103.9000,Singapore,SG,South East,,,
Kampong Reteh,1.3333,103.9000,Singapore,SG,Central Singapore,,,
Kampong Kebun Baharu,1.3667,103.8667,Singapore,SG,Central Singapore,,,
Ong Lee,1.3500,103.7500,Singapore,SG,South West,,,
Saint Michael’s Estate,1.3278,103.8608,Singapore,SG,Central Singapore,,,
Teacher’s Housing Estate,1.3833,103.8286,Singapore,SG,North West,,,
Saga,1.2667,103.8333,Singapore,SG,South West,,,
Kampong Kopit,1.2667,103.8333,Singapore,SG,South West,,,
Tanjong Pagar,1.2833,103.8333,Singapore,SG,South West,,,
Nee Soon Estate,1.4028,103.8178,Singapore,SG,North West,,,
Kampong Pengkalan Petai,1.4033,103.8500,Singapore,SG,North West,,,
Kampong Pengkalan Kundor,1.4100,103.8444,Singapore,SG,North West,,,
Kampong Siren,1.3522,103.8981,Singapore,SG,Central Singapore,,,
Springleaf Park,1.3953,103.8214,Singapore,SG,North West,,,
Kampong Loyang,1.3778,103.9594,Singapore,SG,South East,,,
Kampong Sungai Blukar,1.3881,103.9183,Singapore,SG,North East,,,
Kam Wak Hassan,1.4375,103.8306,Singapore,SG,North West,,,
Sungai Simpang,1.4381,103.8267,Singapore,SG,North West,,,
Yew Tee,1.3944,103.7539,Singapore,SG,South West,,,
Punggol,1.3983,103.9090,Singapore,SG,Central Singapore,,,
Kampong Punggol,1.4125,103.9103,Singapore,SG,North East,,,
Kampong Wak Hassan,1.4614,103.8364,Singapore,SG,North West,,,
Chong Pang,1.4444,103.8239,Singapore,SG,North West,,,
Sembawang,1.4491,103.8185,Singapore,SG,North West,,,
Yishun New Town,1.4333,103.8311,Singapore,SG,North West,,,
Sarang Rimau,1.2597,103.8089,Singapore,SG,South West,,,
Kampong Pasir Ris,1.3783,103.9319,Singapore,SG,North East,,,
Kampong Sungai Jurong,1.3517,103.7336,Singapore,SG,South West,,,
Kampong Java Teban,1.3333,103.7333,Singapore,SG,South West,,,
Kampong Tebing Terjun,1.3333,103.7500,Singapore,SG,South West,,,
Kampong Sungai Pandan,1.3167,103.7500,Singapore,SG,South West,,,
West Coast Village,1.3167,103.7500,Singapore,SG,South West,,,
