Philipsburg,18.0256,-63.0492,Sint Maarten,SX,,primary,,
Middle Region,18.0442,-63.0443,Sint Maarten,SX,,,,
Dutch Quarter,18.0487,-63.0483,Sint Maarten,SX,,,,
Nazareth,18.0544,-63.0493,Sint Maarten,SX,,,,
Zorg en Rust,18.0516,-63.0491,Sint Maarten,SX,,,,
Union Farm,18.0527,-63.0465,Sint Maarten,SX,,,,
Ebenezer,18.0555,-63.0568,Sint Maarten,SX,,,,
Mont William Hill,18.0458,-63.0500,Sint Maarten,SX,,,,
Saunders,18.0417,-63.0567,Sint Maarten,SX,,,,
Claude Estate,18.0424,-63.0514,Sint Maarten,SX,,,,
Belvédère,18.0556,-63.0374,Sint Maarten,SX,,,,
Retreat Estate,18.0468,-63.0658,Sint Maarten,SX,,,,
Duth Cul de Sac,18.0387,-63.0654,Sint Maarten,SX,,,,
Saint James,18.0463,-63.0383,Sint Maarten,SX,,,,
Lower Prince’s Quarter,18.0499,-63.0379,Sint Maarten,SX,,,,
Waymouth Hills Mildrum,18.0593,-63.0570,Sint Maarten,SX,,,,
St. Peters,18.0532,-63.0717,Sint Maarten,SX,,,,
Madame’s Estate,18.0403,-63.0495,Sint Maarten,SX,,,,
Over the Pond,18.0380,-63.0437,Sint Maarten,SX,,,,
Industrie,18.0411,-63.0697,Sint Maarten,SX,,,,
The Villa,18.0311,-63.0600,Sint Maarten,SX,,,,
Welgeleden,18.0310,-63.0652,Sint Maarten,SX,,,,
Rabbit Hill,18.0243,-63.0616,Sint Maarten,SX,,,,
Koolbaai,18.0333,-63.0667,Sint Maarten,SX,,,,
Prospect Farm,18.0333,-63.0667,Sint Maarten,SX,,,,
Reward,18.0590,-63.0644,Sint Maarten,SX,,,,
Trial,18.0333,-63.0500,Sint Maarten,SX,,,,
Rockland,18.0333,-63.0500,Sint Maarten,SX,,,,
