Ljubljana,46.0500,14.5167,Slovenia,SI,Ljubljana,primary,286745,286745
Maribor,46.5500,15.6333,Slovenia,SI,Maribor,admin,96211,96211
Kranj,46.2389,14.3556,Slovenia,SI,Kranj,admin,56081,56081
Celje,46.2291,15.2641,Slovenia,SI,Celje,admin,37875,37875
Koper,45.5475,13.7307,Slovenia,SI,Koper,admin,25753,25753
Velenje,46.3667,15.1167,Slovenia,SI,Velenje,admin,25594,25594
Novo Mesto,45.7981,15.1628,Slovenia,SI,Novo Mesto,admin,24183,24183
Ptuj,46.4186,15.8714,Slovenia,SI,Ptuj,admin,17959,17959
Kamnik,46.2250,14.6097,Slovenia,SI,Kamnik,admin,13880,13880
Jesenice,46.4366,14.0602,Slovenia,SI,Jesenice,admin,13338,13338
Domžale,46.1333,14.6000,Slovenia,SI,Domžale,admin,13204,13204
Nova Gorica,45.9667,13.6500,Slovenia,SI,Nova Gorica,admin,13031,13031
Izola,45.5395,13.6604,Slovenia,SI,Izola,admin,11682,11682
Murska Sobota,46.6586,16.1619,Slovenia,SI,Murska Sobota,admin,11679,11679
Škofja Loka,46.1655,14.3064,Slovenia,SI,Škofja Loka,admin,11671,11671
Postojna,45.7743,14.2153,Slovenia,SI,Postojna,admin,9605,9605
Vrhnika,45.9622,14.2936,Slovenia,SI,Vrhnika,admin,8888,8888
Slovenska Bistrica,46.3941,15.5707,Slovenia,SI,Slovenska Bistrica,admin,8219,8219
Kočevje,45.6430,14.8594,Slovenia,SI,Kočevje,admin,8151,8151
Grosuplje,45.9551,14.6562,Slovenia,SI,Grosuplje,admin,7703,7703
Ravne na Koroškem,46.5437,14.9642,Slovenia,SI,Ravne na Koroškem,admin,7363,7363
Slovenj Gradec,46.5093,15.0790,Slovenia,SI,Slovenj Gradec,admin,7249,7249
Krško,45.9590,15.4922,Slovenia,SI,Krško,admin,7217,7217
Brežice,45.9044,15.5925,Slovenia,SI,Brežice,admin,6843,6843
Ajdovščina,45.8884,13.9052,Slovenia,SI,Ajdovščina,admin,6843,6843
Litija,46.0565,14.8303,Slovenia,SI,Litija,admin,6673,6673
Sežana,45.7000,13.8500,Slovenia,SI,Sežana,admin,6037,6037
Zagorje,46.1342,14.9942,Slovenia,SI,Zagorje ob Savi,admin,6023,6023
Idrija,46.0025,14.0275,Slovenia,SI,Idrija,admin,5886,5886
