Honiara,-9.4333,159.9500,Solomon Islands,SB,Honiara,primary,84520,84520
Gizo,-8.1000,156.8500,Solomon Islands,SB,Western,admin,6154,6154
Lata,-10.7380,165.8567,Solomon Islands,SB,Temotu,admin,553,553
Kwainaketo,-8.7833,160.7000,Solomon Islands,SB,Malaita,,,
Kwai,-8.7723,160.9476,Solomon Islands,SB,Malaita,,,
Ngongosila,-8.7771,160.9411,Solomon Islands,SB,Malaita,,,
Mbuandoko,-9.4167,159.9167,Solomon Islands,SB,Guadalcanal,,,
Kovare,-9.4167,159.9167,Solomon Islands,SB,Guadalcanal,,,
Kakambona,-9.4167,159.9167,Solomon Islands,SB,Guadalcanal,,,
Taumbaghe,-9.4333,159.9167,Solomon Islands,SB,Guadalcanal,,,
Tamatangga,-9.4333,159.9500,Solomon Islands,SB,Guadalcanal,,,
Haghalu,-9.0924,160.1786,Solomon Islands,SB,Central,,,
Auki,-8.7678,160.6978,Solomon Islands,SB,Malaita,admin,,
Kirakira,-10.4544,161.9205,Solomon Islands,SB,Makira and Ulawa,admin,,
Taro,-6.7111,156.3972,Solomon Islands,SB,Choiseul,admin,,
Tulagi,-9.1031,160.1506,Solomon Islands,SB,Central,admin,,
Buala,-8.1448,159.5905,Solomon Islands,SB,Isabel,admin,,
Tigoa,-11.5531,160.0647,Solomon Islands,SB,Rennell and Bellona,admin,,
Tuvaruhu,-9.4545,159.9565,Solomon Islands,SB,Guadalcanal,,,
Kukumu,-8.7667,160.7000,Solomon Islands,SB,Malaita,,,
Lilisiana,-8.7742,160.6932,Solomon Islands,SB,Malaita,,,
Vatukolaa,-9.4248,159.9034,Solomon Islands,SB,Guadalcanal,,,
Tanavasa,-9.4221,159.9003,Solomon Islands,SB,Guadalcanal,,,
Gouulu,-8.3130,160.7009,Solomon Islands,SB,Malaita,,,
Bina,-8.7751,160.7048,Solomon Islands,SB,Malaita,,,
Abu,-8.7757,160.7023,Solomon Islands,SB,Malaita,,,
Olevugha,-8.9988,160.0658,Solomon Islands,SB,Central,,,
Tambakokomu,-9.4247,160.0154,Solomon Islands,SB,Guadalcanal,,,
Lungga,-9.4260,160.0301,Solomon Islands,SB,Guadalcanal,,,
Noro,-8.2227,157.1998,Solomon Islands,SB,Choiseul,,,
Yandina,-9.1167,159.2167,Solomon Islands,SB,Central,,,
Menakasapa,-8.0148,157.3900,Solomon Islands,SB,Choiseul,,,
Mburuku,-8.4452,157.3920,Solomon Islands,SB,Choiseul,,,
A’ama,-8.3495,160.6294,Solomon Islands,SB,Malaita,,,
Buma,-8.6905,160.6863,Solomon Islands,SB,Malaita,,,
Verahoai,-9.4282,159.9092,Solomon Islands,SB,Guadalcanal,,,
Tanahai,-9.4272,159.9144,Solomon Islands,SB,Guadalcanal,,,
Ndarangwara’u,-8.3463,160.6225,Solomon Islands,SB,Malaita,,,
Sape,-9.4580,160.1492,Solomon Islands,SB,Guadalcanal,,,
Talingavatu,-9.1051,160.1458,Solomon Islands,SB,Central,,,
Chinatown,-9.1000,160.1500,Solomon Islands,SB,Central,,,
Ngarafata,-8.7276,160.6771,Solomon Islands,SB,Malaita,,,
Onemae,-8.7289,160.6786,Solomon Islands,SB,Malaita,,,
Bwaunasughu,-10.4605,161.9173,Solomon Islands,SB,Makira and Ulawa,,,
Motombulu,-9.4167,160.0500,Solomon Islands,SB,Guadalcanal,,,
Munda,-8.3280,157.2665,Solomon Islands,SB,Choiseul,,,
Lambete,-8.3285,157.2707,Solomon Islands,SB,Choiseul,,,
Firifau,-8.8608,160.7427,Solomon Islands,SB,Malaita,,,
Kilusakwalo,-8.7324,160.7040,Solomon Islands,SB,Malaita,,,
Raolo,-8.8147,160.7226,Solomon Islands,SB,Malaita,,,
Na Mbo,-9.4500,159.9500,Solomon Islands,SB,Guadalcanal,,,
Kicho,-9.4500,159.9500,Solomon Islands,SB,Guadalcanal,,,
Ngalitatae,-9.4500,159.9500,Solomon Islands,SB,Guadalcanal,,,
Monitawa,-10.7342,162.2725,Solomon Islands,SB,Makira and Ulawa,,,
Tawarogha,-10.7386,162.2711,Solomon Islands,SB,Makira and Ulawa,,,
Mbangopingo,-8.6041,157.3382,Solomon Islands,SB,Choiseul,,,
Kofi,-8.6060,157.3388,Solomon Islands,SB,Choiseul,,,
Fa’arau,-8.8516,160.7438,Solomon Islands,SB,Malaita,,,
Daolusu,-8.8546,160.7451,Solomon Islands,SB,Malaita,,,
Ndunde,-8.3325,157.2775,Solomon Islands,SB,Choiseul,,,
Nono,-8.5667,157.8167,Solomon Islands,SB,Choiseul,,,
Mbareho,-8.5734,157.8188,Solomon Islands,SB,Choiseul,,,
Tit’hiro,-8.1517,159.5983,Solomon Islands,SB,Isabel,,,
Ta’alulolo,-8.9000,160.7500,Solomon Islands,SB,Malaita,,,
’Onggou,-8.8446,160.9633,Solomon Islands,SB,Malaita,,,
Nele,-10.7248,165.7875,Solomon Islands,SB,Temotu,,,
Kokenggolo,-8.3267,157.2517,Solomon Islands,SB,Choiseul,,,
Lelei,-9.4151,159.8969,Solomon Islands,SB,Guadalcanal,,,
Bina,-8.9314,160.7626,Solomon Islands,SB,Malaita,,,
Aenathaia,-8.3573,160.6411,Solomon Islands,SB,Malaita,,,
Maluu,-8.3505,160.6335,Solomon Islands,SB,Malaita,,,
Rerede,-8.4503,160.8438,Solomon Islands,SB,Malaita,,,
Fouia,-8.4566,160.8426,Solomon Islands,SB,Malaita,,,
Iringgila,-7.6068,156.5179,Solomon Islands,SB,Choiseul,,,
Bulabu,-8.8998,160.7441,Solomon Islands,SB,Malaita,,,
Kafoambu,-8.3500,160.6333,Solomon Islands,SB,Malaita,,,
Ndula,-8.3500,160.6333,Solomon Islands,SB,Malaita,,,
Manaambu,-8.3500,160.6265,Solomon Islands,SB,Malaita,,,
Walade,-9.5041,161.5051,Solomon Islands,SB,Malaita,,,
Ghupuna,-10.8366,162.4552,Solomon Islands,SB,Makira and Ulawa,,,
New Manra,-8.1000,156.8167,Solomon Islands,SB,Choiseul,,,
Kilufi,-8.7432,160.6893,Solomon Islands,SB,Malaita,,,
Logha,-8.0927,156.8425,Solomon Islands,SB,Choiseul,,,
Fo’ondo,-8.4601,160.6515,Solomon Islands,SB,Malaita,,,
Taumamae,-8.4624,160.6575,Solomon Islands,SB,Malaita,,,
Kakara,-8.5839,160.6866,Solomon Islands,SB,Malaita,,,
Rararo,-9.4251,161.3790,Solomon Islands,SB,Malaita,,,
Visale,-8.6000,157.3333,Solomon Islands,SB,Choiseul,,,
Seleo,-8.1472,159.5946,Solomon Islands,SB,Isabel,,,
Maluka,-9.4167,160.1167,Solomon Islands,SB,Guadalcanal,,,
Tearoku,-9.4256,160.1250,Solomon Islands,SB,Guadalcanal,,,
Mbelagha,-9.0734,160.3293,Solomon Islands,SB,Central,,,
Ravu Sondu Ulu,-8.9706,160.1111,Solomon Islands,SB,Central,,,
Arabala,-8.8980,160.7605,Solomon Islands,SB,Malaita,,,
Mbanga,-8.2983,157.2150,Solomon Islands,SB,Choiseul,,,
Foumamatoo,-8.2950,160.7593,Solomon Islands,SB,Malaita,,,
Tauba,-8.3157,160.7425,Solomon Islands,SB,Malaita,,,
Kwaila’abu,-8.3017,160.7575,Solomon Islands,SB,Malaita,,,
Anuta,-10.3437,161.3629,Solomon Islands,SB,Makira and Ulawa,,,
Ailau,-8.9237,160.7613,Solomon Islands,SB,Malaita,,,
