Johannesburg,-26.2044,28.0416,South Africa,ZA,Gauteng,admin,4434827,4434827
Vereeniging,-26.6736,27.9319,South Africa,ZA,Gauteng,,1074000,474681
Pietermaritzburg,-29.5833,30.4167,South Africa,ZA,KwaZulu-Natal,admin,750845,490951
Pretoria,-25.7464,28.1881,South Africa,ZA,Gauteng,primary,741651,741651
Durban,-29.8583,31.0250,South Africa,ZA,KwaZulu-Natal,,595061,595061
Cape Town,-33.9250,18.4250,South Africa,ZA,Western Cape,primary,433688,433688
Welkom,-27.9831,26.7208,South Africa,ZA,Free State,,431944,126079
East London,-33.0153,27.9116,South Africa,ZA,Eastern Cape,,338627,338627
Randburg,-26.0936,28.0064,South Africa,ZA,Gauteng,,337053,337053
Roodepoort,-26.1625,27.8725,South Africa,ZA,Gauteng,,326416,326416
Port Elizabeth,-33.9581,25.6000,South Africa,ZA,Eastern Cape,,312392,312392
Bloemfontein,-29.1000,26.2167,South Africa,ZA,Free State,primary,256185,256185
Centurion,-25.8603,28.1894,South Africa,ZA,Gauteng,,236580,236580
Springs,-26.2547,28.4428,South Africa,ZA,Gauteng,,236083,186394
Sandton,-26.1070,28.0517,South Africa,ZA,Gauteng,,222415,222415
Polokwane,-23.9000,29.4500,South Africa,ZA,Limpopo,admin,220045,123749
Klerksdorp,-26.8667,26.6667,South Africa,ZA,North West,,178921,147804
Rustenburg,-25.6667,27.2336,South Africa,ZA,North West,,165976,124064
Kimberley,-28.7386,24.7586,South Africa,ZA,Northern Cape,admin,165264,142089
Bhisho,-32.8494,27.4381,South Africa,ZA,Eastern Cape,admin,160997,137287
Benoni,-26.1883,28.3206,South Africa,ZA,Gauteng,,158777,158777
George,-33.9667,22.4500,South Africa,ZA,Western Cape,,157394,157394
Middelburg,-25.7684,29.4783,South Africa,ZA,Mpumalanga,,154706,93790
Vryheid,-27.7694,30.7914,South Africa,ZA,KwaZulu-Natal,,150012,66717
Potchefstroom,-26.7150,27.1033,South Africa,ZA,North West,,148804,148804
Umtata,-31.5800,28.7900,South Africa,ZA,Eastern Cape,,137772,78663
Brits,-25.6167,27.7667,South Africa,ZA,North West,,122497,39947
Alberton,-26.2672,28.1219,South Africa,ZA,Gauteng,,121536,121536
Upington,-28.4572,21.2425,South Africa,ZA,Northern Cape,,121189,121189
Paarl,-33.7242,18.9558,South Africa,ZA,Western Cape,,112045,112045
Queenstown,-31.9000,26.8833,South Africa,ZA,Eastern Cape,,105309,87240
Mmabatho,-25.8500,25.6333,South Africa,ZA,North West,,104428,76754
Kroonstad,-27.6456,27.2317,South Africa,ZA,Free State,,103992,72835
Uitenhage,-33.7500,25.4000,South Africa,ZA,Eastern Cape,,103639,103639
Bethal,-26.4500,29.4500,South Africa,ZA,Mpumalanga,,101919,90450
Worcester,-33.6450,19.4436,South Africa,ZA,Western Cape,,97098,97098
Vanderbijlpark,-26.6992,27.8356,South Africa,ZA,Gauteng,,95840,95840
Grahamstown,-33.2996,26.5200,South Africa,ZA,Eastern Cape,,91548,49083
Standerton,-26.9500,29.2500,South Africa,ZA,Mpumalanga,,74021,18093
Brakpan,-26.2353,28.3700,South Africa,ZA,Gauteng,,73080,73080
Thohoyandou,-22.9500,30.4833,South Africa,ZA,Limpopo,,69453,69453
Saldanha,-32.9978,17.9456,South Africa,ZA,Western Cape,,68284,6654
Tzaneen,-23.8333,30.1667,South Africa,ZA,Limpopo,,67245,16954
Graaff-Reinet,-32.2522,24.5406,South Africa,ZA,Eastern Cape,,62896,3021
Oudtshoorn,-33.5833,22.2000,South Africa,ZA,Western Cape,,61507,61507
Mossel Bay,-34.1833,22.1333,South Africa,ZA,Western Cape,,59031,59031
Port Shepstone,-30.7411,30.4547,South Africa,ZA,KwaZulu-Natal,,52793,21858
Knysna,-34.0356,23.0489,South Africa,ZA,Western Cape,,51078,51078
Vryburg,-26.9500,24.7333,South Africa,ZA,North West,,49588,13590
Ladysmith,-28.5539,29.7825,South Africa,ZA,KwaZulu-Natal,,47375,47375
Kuilsrivier,-34.0333,18.7000,South Africa,ZA,Western Cape,,46686,46686
Beaufort West,-32.3500,22.5833,South Africa,ZA,Western Cape,,44737,11404
Aliwal North,-30.7000,26.7000,South Africa,ZA,Eastern Cape,,44436,8410
Volksrust,-27.3667,29.8833,South Africa,ZA,Mpumalanga,,43378,7411
Musina,-22.3381,30.0417,South Africa,ZA,Limpopo,,42678,42678
Vredenburg,-32.9000,17.9833,South Africa,ZA,Western Cape,,38382,38382
Malmesbury,-33.4500,18.7333,South Africa,ZA,Western Cape,,35897,35897
Lebowakgomo,-24.3050,29.5650,South Africa,ZA,Limpopo,,33308,397
Cradock,-32.1833,25.6167,South Africa,ZA,Eastern Cape,,32898,32898
De Aar,-30.6500,24.0167,South Africa,ZA,Northern Cape,,32318,5021
Ulundi,-28.3350,31.4161,South Africa,ZA,KwaZulu-Natal,,29132,29132
Jeffrey’s Bay,-34.0333,24.9167,South Africa,ZA,Eastern Cape,,27107,27107
Lichtenburg,-26.1500,26.1667,South Africa,ZA,North West,,26338,26338
Hermanus,-34.4167,19.3000,South Africa,ZA,Western Cape,,25153,7396
Carletonville,-26.3581,27.3981,South Africa,ZA,Gauteng,,23000,23000
Mahikeng,-25.8653,25.6442,South Africa,ZA,North West,admin,15117,15117
Nelspruit,-25.4745,30.9703,South Africa,ZA,Mpumalanga,admin,,
