Colombo,6.9167,79.8333,Sri Lanka,LK,Western,primary,752993,752993
Moratuwa,6.7804,79.8800,Sri Lanka,LK,Western,,200000,177190
Kandy,7.2970,80.6385,Sri Lanka,LK,Central,admin,161000,161000
Negombo,7.2111,79.8386,Sri Lanka,LK,Western,,142136,142136
Batticaloa,7.7170,81.7000,Sri Lanka,LK,Eastern,,129222,86742
Sri Jayewardenepura Kotte,6.9000,79.9164,Sri Lanka,LK,Western,primary,115826,115826
Kilinochchi,9.4004,80.3999,Sri Lanka,LK,Northern,,103717,25000
Galle,6.0395,80.2194,Sri Lanka,LK,Southern,admin,99478,93118
Trincomalee,8.5667,81.2333,Sri Lanka,LK,Eastern,admin,99135,99135
Jaffna,9.6647,80.0167,Sri Lanka,LK,Northern,admin,88138,88138
Matara,5.9500,80.5333,Sri Lanka,LK,Southern,,68244,68244
Anuradhapura,8.3350,80.4108,Sri Lanka,LK,North Central,admin,63208,63208
Ratnapura,6.6930,80.3860,Sri Lanka,LK,Sabaragamuwa,admin,47832,47832
Puttalam,8.0330,79.8260,Sri Lanka,LK,North Western,,45661,45661
Badulla,6.9847,81.0564,Sri Lanka,LK,Uva,admin,42923,42923
Mullaittivu,9.2833,80.8000,Sri Lanka,LK,Northern,,37339,37339
Matale,7.4667,80.6167,Sri Lanka,LK,Central,,36451,36451
Mannar,8.9772,79.9138,Sri Lanka,LK,Northern,,35000,35000
Kurunegala,7.4833,80.3667,Sri Lanka,LK,North Western,admin,,
