Taichung,24.1500,120.6667,Taiwan,TW,Taichung,admin,2803894,2803894
Kaohsiung,22.6167,120.3000,Taiwan,TW,Kaohsiung,admin,2773533,2773533
Taipei,25.0478,121.5319,Taiwan,TW,Taipei,primary,2684567,2684567
Tainan,22.9833,120.1833,Taiwan,TW,Tainan,admin,1883831,1883831
Zhongli,24.9650,121.2168,Taiwan,TW,Taoyuan,,1632616,369770
Changhua,24.0667,120.5333,Taiwan,TW,Changhua,admin,750000,236588
Pingtung,22.6761,120.4942,Taiwan,TW,Pingtung,admin,503530,215975
Hsinchu,24.8047,120.9714,Taiwan,TW,Hsinchu,admin,445635,445635
Taoyuan District,24.9889,121.3111,Taiwan,TW,Taoyuan,admin,443273,443273
Keelung,25.1283,121.7419,Taiwan,TW,Keelung,admin,370155,370155
Chiayi,23.4800,120.4497,Taiwan,TW,Chiayi,admin,268622,268622
Zhubei,24.8333,121.0000,Taiwan,TW,Hsinchu,admin,200000,148006
Nantou,23.9167,120.6833,Taiwan,TW,Nantou,admin,165000,103698
Yilan,24.7500,121.7500,Taiwan,TW,Yilan,admin,150000,95831
Hualien,23.9722,121.6064,Taiwan,TW,Hualien,admin,109251,109251
Taitung,22.7583,121.1444,Taiwan,TW,Taitung,admin,108905,108905
Douliu,23.7075,120.5439,Taiwan,TW,Yunlin,admin,106653,104723
Miaoli,24.5700,120.8200,Taiwan,TW,Miaoli,admin,90963,90963
Magong,23.5667,119.5833,Taiwan,TW,Penghu,admin,56435,56435
Taibao,23.4500,120.3333,Taiwan,TW,Chiayi,admin,35000,34330
Nangan,26.1598,119.9432,Taiwan,TW,Lienchiang,admin,7382,7382
Banqiao,25.0143,121.4672,Taiwan,TW,New Taipei,admin,,
Jincheng,24.4167,118.3167,Taiwan,TW,Kinmen,admin,,
