Dushanbe,38.5731,68.7864,Tajikistan,TJ,Dushanbe,primary,778500,778500
Khŭjand,40.2833,69.6167,Tajikistan,TJ,Sughd,admin,181600,181600
Kŭlob,37.9119,69.7808,Tajikistan,TJ,Khatlon,minor,95000,95000
Bokhtar,37.8364,68.7803,Tajikistan,TJ,Khatlon,admin,75450,75450
Istaravshan,39.9108,69.0064,Tajikistan,TJ,Sughd,minor,57400,57400
Konibodom,40.2833,70.4167,Tajikistan,TJ,Sughd,minor,50400,50400
Tursunzoda,38.5108,68.2303,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,46700,46700
Vahdat,38.5531,69.0197,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,40600,40600
Isfara,40.1167,70.6333,Tajikistan,TJ,Sughd,minor,40000,40000
Panjakent,39.5031,67.6150,Tajikistan,TJ,Sughd,minor,33000,33000
Khorugh,37.4917,71.5575,Tajikistan,TJ,Kŭhistoni Badakhshon,admin,28098,28098
Hisor,38.5264,68.5381,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,23200,23200
Norak,38.3883,69.3250,Tajikistan,TJ,Khatlon,minor,18950,18950
Shahriston,39.7667,68.8167,Tajikistan,TJ,Sughd,minor,16295,16295
Abdurahmoni Jomí,37.9794,68.6890,Tajikistan,TJ,Khatlon,minor,8925,8925
Ishqoshim,36.7272,71.6117,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,6567,6567
Levakant,37.8714,68.9223,Tajikistan,TJ,Khatlon,minor,,
Vakhsh,37.7149,68.8346,Tajikistan,TJ,Khatlon,minor,,
Proletar,40.1671,69.5016,Tajikistan,TJ,Sughd,minor,,
Nov,40.1522,69.3708,Tajikistan,TJ,Sughd,minor,,
Ismoili Somoní,37.7663,68.8013,Tajikistan,TJ,Khatlon,minor,,
Hulbuk,37.8054,69.6452,Tajikistan,TJ,Khatlon,minor,,
Somoniyon,38.4417,68.7746,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Yovon,38.3141,69.0378,Tajikistan,TJ,Khatlon,minor,,
Kolkhozobod,37.5882,68.6589,Tajikistan,TJ,Khatlon,minor,,
Dŭstí,37.3481,68.6640,Tajikistan,TJ,Khatlon,minor,,
Zafarobod,40.1760,68.8468,Tajikistan,TJ,Sughd,minor,,
Ghafurov,40.2157,69.7287,Tajikistan,TJ,Sughd,minor,,
Panj,37.2363,69.0991,Tajikistan,TJ,Khatlon,minor,,
Fayzobod,38.5473,69.3198,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Obikiik,38.1603,68.6660,Tajikistan,TJ,Khatlon,minor,,
Bŭston,40.5229,69.3331,Tajikistan,TJ,Sughd,minor,,
Farkhor,37.4922,69.4036,Tajikistan,TJ,Khatlon,minor,,
Moskva,37.6567,69.6292,Tajikistan,TJ,Khatlon,minor,,
Danghara,38.0958,69.3400,Tajikistan,TJ,Khatlon,minor,,
Shahrinav,38.5708,68.3350,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Jilikŭl,37.4917,68.5311,Tajikistan,TJ,Khatlon,minor,,
Qubodiyon,37.4097,68.1864,Tajikistan,TJ,Khatlon,minor,,
Mŭ’minobod,38.1071,70.0321,Tajikistan,TJ,Khatlon,minor,,
Ghonchí,39.9624,69.1297,Tajikistan,TJ,Sughd,minor,,
Darband,38.8678,69.9664,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Sovet,38.0467,69.5882,Tajikistan,TJ,Khatlon,minor,,
Shahritus,37.2621,68.1385,Tajikistan,TJ,Khatlon,minor,,
Shaydon,40.6699,70.3502,Tajikistan,TJ,Sughd,minor,,
Bahorí,37.4020,67.9945,Tajikistan,TJ,Khatlon,minor,,
Roghun,38.6933,69.7369,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Shŭrobod,37.8414,70.0486,Tajikistan,TJ,Khatlon,minor,,
Varzob,38.7728,68.8178,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Khovaling,38.3419,69.9753,Tajikistan,TJ,Khatlon,minor,,
Tajikobod,39.1241,70.8401,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Rasht,39.0287,70.3745,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Baljuvon,38.3084,69.6767,Tajikistan,TJ,Khatlon,minor,,
Ayní,39.3941,68.5377,Tajikistan,TJ,Sughd,minor,,
Jirghatol,39.2197,71.1916,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Qalaikhumb,38.4537,70.7890,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Vanj,38.3708,71.4547,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Roshtqal’a,37.2583,71.8259,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Mehron,39.4169,69.2868,Tajikistan,TJ,Sughd,minor,,
Rŭshon,37.9449,71.5574,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
Tavildara,38.6953,70.4842,Tajikistan,TJ,Nohiyahoi Tobei Jumhurí,minor,,
Murghob,38.1702,73.9667,Tajikistan,TJ,Kŭhistoni Badakhshon,minor,,
