Bangkok,13.7500,100.5167,Thailand,TH,Krung Thep Maha Nakhon,primary,17066000,5782000
Nonthaburi,13.8667,100.5167,Thailand,TH,Nonthaburi,admin,255671,255671
Pak Kret,13.9125,100.4978,Thailand,TH,Nonthaburi,minor,184501,184501
Hat Yai,7.0167,100.4667,Thailand,TH,Songkhla,minor,159130,159130
Nakhon Ratchasima,14.9736,102.0831,Thailand,TH,Nakhon Ratchasima,admin,134440,134440
Chiang Mai,18.7889,98.9833,Thailand,TH,Chiang Mai,admin,132634,132634
Surat Thani,9.1397,99.3306,Thailand,TH,Surat Thani,admin,130703,130703
Udon Thani,17.4253,102.7902,Thailand,TH,Udon Thani,admin,130274,130274
Ban Bang Pu Mai,13.5441,100.6175,Thailand,TH,Samut Prakan,,120058,120058
Khon Kaen,16.4297,102.8297,Thailand,TH,Khon Kaen,admin,115928,115928
Phatthaya,12.9496,100.8930,Thailand,TH,Chon Buri,,115840,115840
Nakhon Si Thammarat,8.4363,99.9630,Thailand,TH,Nakhon Si Thammarat,admin,106322,106322
Ban Mangkon,13.6138,100.6104,Thailand,TH,Samut Prakan,,102291,102291
Nakhon Sawan,15.7133,100.1353,Thailand,TH,Nakhon Sawan,admin,86439,86439
Ban Talat Rangsit,13.9870,100.6095,Thailand,TH,Pathum Thani,,79319,79319
Ubon Ratchathani,15.2281,104.8594,Thailand,TH,Ubon Ratchathani,admin,79023,79023
Nakhon Pathom,13.8194,100.0581,Thailand,TH,Nakhon Pathom,admin,78780,78780
Phuket,7.8881,98.3975,Thailand,TH,Phuket,admin,77610,77610
Phitsanulok,16.8158,100.2636,Thailand,TH,Phitsanulok,admin,70871,70871
Chiang Rai,19.9094,99.8275,Thailand,TH,Chiang Rai,admin,70610,70610
Ko Samui,9.5157,99.9436,Thailand,TH,Surat Thani,minor,68994,68994
Ban Suan,13.3616,100.9795,Thailand,TH,Chon Buri,,66092,66092
Songkhla,7.2061,100.5967,Thailand,TH,Songkhla,admin,63834,63834
Rayong,12.6742,101.2789,Thailand,TH,Rayong,admin,61902,61902
Saraburi,14.5286,100.9114,Thailand,TH,Sara Buri,admin,61750,61750
Yala,6.5397,101.2811,Thailand,TH,Yala,admin,61250,61250
Trang,7.5561,99.6114,Thailand,TH,Trang,admin,60591,60591
Samut Sakhon,13.5486,100.2775,Thailand,TH,Samut Sakhon,admin,60103,60103
Ban Bang Kaeo,13.6371,100.6636,Thailand,TH,Samut Prakan,,59478,59478
Hua Hin,12.5686,99.9578,Thailand,TH,Prachuap Khiri Khan,minor,59369,59369
Ban Rangsit,14.0167,100.7500,Thailand,TH,Pathum Thani,,58838,58838
Khlong Luang,14.0649,100.6447,Thailand,TH,Pathum Thani,minor,56128,56128
Lampang,18.3000,99.5000,Thailand,TH,Lampang,admin,55044,55044
Prachuap Khiri Khan,11.8067,99.7956,Thailand,TH,Prachuap Khiri Khan,admin,54018,54018
Sakon Nakhon,17.1564,104.1456,Thailand,TH,Sakon Nakhon,admin,53618,53618
Phra Nakhon Si Ayutthaya,14.3594,100.5761,Thailand,TH,Phra Nakhon Si Ayutthaya,admin,52952,52952
Maha Sarakham,16.1772,103.3008,Thailand,TH,Maha Sarakham,admin,52866,52866
Muban Saeng Bua Thong,13.9424,100.3913,Thailand,TH,Nonthaburi,,51932,51932
Samut Prakan,13.6004,100.5964,Thailand,TH,Samut Prakan,admin,51309,51309
Bang Bua Thong,13.9099,100.4263,Thailand,TH,Nonthaburi,minor,50141,50141
Nong Khai,17.8842,102.7467,Thailand,TH,Nong Khai,admin,48274,48274
Ban Plai Bua Phatthana,13.9032,100.3989,Thailand,TH,Pathum Thani,,46274,46274
Ban Bang Mae Nang,13.8815,100.3759,Thailand,TH,Nonthaburi,,45974,45974
Ban Pet,16.4379,102.7645,Thailand,TH,Khon Kaen,,44293,44293
Pattani,6.8664,101.2508,Thailand,TH,Pattani,admin,44234,44234
Singhanakhon,7.2389,100.5506,Thailand,TH,Songkhla,minor,44128,44128
Si Sa Ket,15.1072,104.3291,Thailand,TH,Sisaket,admin,42405,42405
Bang Kruai,13.8042,100.4755,Thailand,TH,Nonthaburi,minor,42390,42390
Su-ngai Kolok,6.0297,101.9668,Thailand,TH,Narathiwat,minor,41590,41590
Narathiwat,6.4264,101.8231,Thailand,TH,Narathiwat,admin,41342,41342
Ban Na Pa,13.3956,101.0232,Thailand,TH,Chon Buri,,40899,40899
Surin,14.8864,103.4932,Thailand,TH,Surin,admin,39728,39728
Chachoengsao,13.6903,101.0703,Thailand,TH,Chachoengsao,admin,39570,39570
Ban Bang Khu Lat,13.9134,100.3690,Thailand,TH,Nonthaburi,,38758,38758
Chaiyaphum,15.8056,102.0311,Thailand,TH,Chaiyaphum,admin,36923,36923
Ratchaburi,13.5367,99.8169,Thailand,TH,Ratchaburi,admin,36339,36339
Ban Mueang Na Tai,19.5932,98.9618,Thailand,TH,Chiang Mai,,36156,36156
Pak Chong,14.6796,101.3976,Thailand,TH,Nakhon Ratchasima,minor,35736,35736
Cha-am,12.7992,99.9683,Thailand,TH,Phetchaburi,minor,35581,35581
Roi Et,16.0533,103.6513,Thailand,TH,Roi Et,admin,35219,35219
Phatthalung,7.6178,100.0778,Thailand,TH,Phatthalung,admin,35039,35039
