Dili,-8.5586,125.5736,Timor-Leste,TL,Díli,primary,222323,222323
Maliana,-8.9917,125.2197,Timor-Leste,TL,Bobonaro,admin,15800,15800
Ainaro,-8.9833,125.5000,Timor-Leste,TL,Ainaro,admin,15558,15558
Baucau,-8.4667,126.4500,Timor-Leste,TL,Baucau,admin,14961,14961
Manatuto,-8.5167,126.0167,Timor-Leste,TL,Manatuto,admin,9022,9022
Gleno,-8.7239,125.4361,Timor-Leste,TL,Ermera,admin,8133,8133
Viqueque,-8.8500,126.3667,Timor-Leste,TL,Viqueque,admin,6078,6078
Liquiçá,-8.5935,125.3273,Timor-Leste,TL,Liquiçá,admin,5152,5152
Same,-9.0000,125.6500,Timor-Leste,TL,Manufahi,admin,2100,2100
Hudilaran,-8.5566,125.5589,Timor-Leste,TL,Díli,,,
Marabia,-8.5690,125.5876,Timor-Leste,TL,Díli,,,
Beduku,-8.5836,125.5281,Timor-Leste,TL,Díli,,,
Kampungbaru,-8.5561,125.5250,Timor-Leste,TL,Díli,,,
Bedois,-8.5657,125.6247,Timor-Leste,TL,Díli,,,
Lunukhun,-8.5653,125.6191,Timor-Leste,TL,Díli,,,
Mota Ulun Timur,-8.5758,125.5931,Timor-Leste,TL,Díli,,,
Bidau,-8.5667,125.6000,Timor-Leste,TL,Díli,,,
Ailoklaran,-8.5650,125.6128,Timor-Leste,TL,Díli,,,
Buburlau,-8.5708,125.6181,Timor-Leste,TL,Díli,,,
Karomate,-8.5742,125.6175,Timor-Leste,TL,Díli,,,
Mota Ulun,-8.5732,125.6152,Timor-Leste,TL,Díli,,,
Bekosi Atas,-8.5650,125.6067,Timor-Leste,TL,Díli,,,
Kulau,-8.5731,125.6060,Timor-Leste,TL,Díli,,,
Redilaran,-8.5761,125.5831,Timor-Leste,TL,Díli,,,
Lahane,-8.5833,125.5833,Timor-Leste,TL,Díli,,,
Aidabahare,-8.5703,125.6284,Timor-Leste,TL,Díli,,,
Aihanexun,-8.5842,125.5832,Timor-Leste,TL,Díli,,,
Nahaek,-8.5911,125.5806,Timor-Leste,TL,Díli,,,
Malikeo,-8.5863,125.6027,Timor-Leste,TL,Díli,,,
Kitutu,-8.5895,125.6082,Timor-Leste,TL,Aileu,,,
Aileu,-8.7281,125.5664,Timor-Leste,TL,Aileu,admin,,
Pante Macassar,-9.2000,124.3833,Timor-Leste,TL,Oecussi-Ambeno,admin,,
Suai,-9.3129,125.2565,Timor-Leste,TL,Cova Lima,admin,,
Lospalos,-8.5167,127.0333,Timor-Leste,TL,Lautém,admin,,
Uailabere,-8.4460,126.4766,Timor-Leste,TL,Baucau,,,
Onosere,-8.4528,126.4733,Timor-Leste,TL,Baucau,,,
Kasmutu,-8.4583,126.4698,Timor-Leste,TL,Baucau,,,
Diwake,-8.4488,126.4615,Timor-Leste,TL,Baucau,,,
Racolo,-8.4461,126.4646,Timor-Leste,TL,Baucau,,,
Uatabo,-8.4416,126.4656,Timor-Leste,TL,Baucau,,,
Ailelehu,-8.5525,125.6236,Timor-Leste,TL,Díli,,,
Boile,-8.4626,126.4555,Timor-Leste,TL,Baucau,,,
Makadai,-8.4612,126.4541,Timor-Leste,TL,Baucau,,,
Mangero,-8.7392,125.4361,Timor-Leste,TL,Ermera,,,
Sosoher,-8.7469,125.4411,Timor-Leste,TL,Ermera,,,
Datawa,-8.4633,126.4654,Timor-Leste,TL,Baucau,,,
Gombei,-8.7328,125.4342,Timor-Leste,TL,Ermera,,,
Lutumutu,-8.4834,126.4552,Timor-Leste,TL,Baucau,,,
Caiobilalei,-8.4648,126.4698,Timor-Leste,TL,Baucau,,,
Uaicainaro,-8.4711,126.4775,Timor-Leste,TL,Baucau,,,
Paschei,-8.7317,125.4272,Timor-Leste,TL,Ermera,,,
Teolale,-8.4582,126.4560,Timor-Leste,TL,Baucau,,,
Fatunaba,-8.5946,125.5792,Timor-Leste,TL,Díli,,,
Tapoinea,-8.9247,125.3964,Timor-Leste,TL,Ermera,,,
Raibuti,-8.9169,125.3964,Timor-Leste,TL,Ermera,,,
Rokon,-8.9964,125.2142,Timor-Leste,TL,Bobonaro,,,
Atubuti,-8.9308,125.4053,Timor-Leste,TL,Ermera,,,
Paramin,-8.9264,125.4042,Timor-Leste,TL,Ermera,,,
Laklo,-8.9261,125.4008,Timor-Leste,TL,Ermera,,,
Ailisu,-8.9317,125.4028,Timor-Leste,TL,Ermera,,,
Aliatu,-8.9267,125.4067,Timor-Leste,TL,Ermera,,,
Urletepoho,-8.7400,125.4292,Timor-Leste,TL,Ermera,,,
Urluli,-8.7378,125.4283,Timor-Leste,TL,Ermera,,,
Oplegul,-8.9975,125.2194,Timor-Leste,TL,Bobonaro,,,
Malitada,-8.9361,125.4056,Timor-Leste,TL,Ermera,,,
Wabere,-8.5697,126.5747,Timor-Leste,TL,Baucau,,,
Laklolema,-8.6239,125.3083,Timor-Leste,TL,Liquiçá,,,
Kemalehohuru,-8.5908,125.3128,Timor-Leste,TL,Liquiçá,,,
Kemalelara,-8.5994,125.3208,Timor-Leste,TL,Liquiçá,,,
Ermera,-8.7522,125.3969,Timor-Leste,TL,Ermera,,,
Loblala,-8.7522,125.3856,Timor-Leste,TL,Ermera,,,
Renatu,-8.7306,125.4022,Timor-Leste,TL,Ermera,,,
Lekese,-8.7319,125.3922,Timor-Leste,TL,Ermera,,,
Poepung,-8.7564,125.3897,Timor-Leste,TL,Ermera,,,
Atsabe,-8.9250,125.3981,Timor-Leste,TL,Ermera,,,
Tidibesse,-8.7614,125.3894,Timor-Leste,TL,Ermera,,,
Suileo,-8.7475,125.4272,Timor-Leste,TL,Ermera,,,
Tlibugeo,-8.7389,125.4042,Timor-Leste,TL,Ermera,,,
Hekar,-8.6217,125.3408,Timor-Leste,TL,Liquiçá,,,
Nunutali,-8.7500,125.4372,Timor-Leste,TL,Ermera,,,
Pocana,-8.7564,125.4386,Timor-Leste,TL,Ermera,,,
Airai,-8.9267,125.4094,Timor-Leste,TL,Ermera,,,
Atupae,-8.9297,125.4100,Timor-Leste,TL,Ermera,,,
Leopa,-8.5917,125.3253,Timor-Leste,TL,Liquiçá,,,
Dato,-8.5950,125.3278,Timor-Leste,TL,Liquiçá,,,
Kotalara,-8.5975,125.3294,Timor-Leste,TL,Liquiçá,,,
Samatrai,-8.7597,125.3950,Timor-Leste,TL,Ermera,,,
Manisu,-8.7108,125.4308,Timor-Leste,TL,Ermera,,,
Pisulete,-8.5875,125.3492,Timor-Leste,TL,Liquiçá,,,
Nartutu,-8.5894,125.3436,Timor-Leste,TL,Liquiçá,,,
Raebou,-8.8858,125.4125,Timor-Leste,TL,Ermera,,,
Leubasa,-8.8925,125.4253,Timor-Leste,TL,Ermera,,,
Atauro,-8.2667,125.6014,Timor-Leste,TL,Díli,,,
Obrato 1,-8.4972,125.9944,Timor-Leste,TL,Manatuto,,,
Aiteas,-8.5106,126.0158,Timor-Leste,TL,Manatuto,,,
Sau,-8.5100,126.0111,Timor-Leste,TL,Manatuto,,,
Obrato,-8.5042,125.9975,Timor-Leste,TL,Manatuto,,,
Malarahu,-8.5217,125.9978,Timor-Leste,TL,Manatuto,,,
Kirilelo,-8.6489,125.3339,Timor-Leste,TL,Liquiçá,,,
Hatululi,-8.6436,125.3369,Timor-Leste,TL,Liquiçá,,,
