Lomé,6.1319,1.2228,Togo,TG,Maritime,primary,837437,837437
Sokodé,8.9833,1.1333,Togo,TG,Centrale,admin,113000,113000
Kpalimé,6.9100,0.6281,Togo,TG,Plateaux,,100479,95974
Atakpamé,7.5300,1.1200,Togo,TG,Plateaux,admin,80683,68831
Sansanné-Mango,10.3556,0.4756,Togo,TG,Savanes,,42626,37748
Bassar,9.2500,0.7833,Togo,TG,Kara,,23181,23181
Kodjovya,6.1203,1.2064,Togo,TG,Maritime,,,
Nyenakpoé,6.1292,1.2044,Togo,TG,Maritime,,,
Aboni Kopé,6.1758,1.1919,Togo,TG,Maritime,,,
Gbolovou,6.1725,1.1950,Togo,TG,Maritime,,,
Sedjro,6.1811,1.1850,Togo,TG,Maritime,,,
Gbadago,6.1442,1.2194,Togo,TG,Maritime,,,
Tokwen,6.1500,1.2167,Togo,TG,Maritime,,,
Klétigan,6.1531,1.2256,Togo,TG,Maritime,,,
Soklito,6.1758,1.1872,Togo,TG,Maritime,,,
Dogbéavi,6.1553,1.2175,Togo,TG,Maritime,,,
Avéméné,6.1808,1.1883,Togo,TG,Maritime,,,
Avenou,6.1667,1.1833,Togo,TG,Maritime,,,
Djaka,6.1725,1.1706,Togo,TG,Maritime,,,
Agbakou,6.1744,1.1742,Togo,TG,Maritime,,,
Ako,6.1567,1.2228,Togo,TG,Maritime,,,
Gadjépé,6.1511,1.2072,Togo,TG,Maritime,,,
Ayivi Adjavon,6.1417,1.2653,Togo,TG,Maritime,,,
Kofiwendjé,6.1389,1.2758,Togo,TG,Maritime,,,
Baka,6.1647,1.3539,Togo,TG,Maritime,,,
Lantigban,6.1442,1.2850,Togo,TG,Maritime,,,
Agbosè,6.1619,1.3456,Togo,TG,Maritime,,,
Ema Kopé,6.1525,1.2861,Togo,TG,Maritime,,,
Agbétyafan,6.1472,1.2644,Togo,TG,Maritime,,,
Aményaglo,6.1669,1.3628,Togo,TG,Maritime,,,
Alagbo,6.1408,1.2586,Togo,TG,Maritime,,,
Sopé,6.1417,1.2817,Togo,TG,Maritime,,,
Kawékondji,6.1456,1.2986,Togo,TG,Maritime,,,
Avété,6.1428,1.2600,Togo,TG,Maritime,,,
Ablogamé,6.1344,1.2633,Togo,TG,Maritime,,,
Bobolé,6.1694,1.3706,Togo,TG,Maritime,,,
Akodéséwa,6.1500,1.2678,Togo,TG,Maritime,,,
Gbésogbé,6.1486,1.3056,Togo,TG,Maritime,,,
Edjé,6.1467,1.2711,Togo,TG,Maritime,,,
Oundo,6.1517,1.3050,Togo,TG,Maritime,,,
Doévi,6.1553,1.3275,Togo,TG,Maritime,,,
Koudakpokomé,6.1633,1.3494,Togo,TG,Maritime,,,
Ladjékpo,6.1461,1.2806,Togo,TG,Maritime,,,
Ayivi,6.1433,1.2925,Togo,TG,Maritime,,,
Adjatogo,6.1592,1.3386,Togo,TG,Maritime,,,
Tokpokondji,6.1561,1.3092,Togo,TG,Maritime,,,
Améwawou,6.1597,1.3394,Togo,TG,Maritime,,,
Kpogan,6.1728,1.3825,Togo,TG,Maritime,,,
Foli Kopé,6.1697,1.3514,Togo,TG,Maritime,,,
Toudji,6.1828,1.3811,Togo,TG,Maritime,,,
Yovo Kopé,6.1822,1.3767,Togo,TG,Maritime,,,
Avéfodzo,6.1683,1.3425,Togo,TG,Maritime,,,
Houvémé,6.1461,1.2517,Togo,TG,Maritime,,,
Gakli,6.1758,1.2006,Togo,TG,Maritime,,,
Azyagbang,6.1772,1.2003,Togo,TG,Maritime,,,
Adjigo,6.1503,1.2819,Togo,TG,Maritime,,,
Tativi,6.1833,1.1833,Togo,TG,Maritime,,,
Diavon,6.1833,1.1833,Togo,TG,Maritime,,,
Avédji Anyigbé,6.1803,1.1781,Togo,TG,Maritime,,,
Sovipé,6.1772,1.1808,Togo,TG,Maritime,,,
Amoutivé,6.1436,1.2425,Togo,TG,Maritime,,,
Anoukou,6.1492,1.2461,Togo,TG,Maritime,,,
Rhodan,6.1631,1.3100,Togo,TG,Maritime,,,
Rhatosé,6.1617,1.3058,Togo,TG,Maritime,,,
Agodéké,6.1769,1.3628,Togo,TG,Maritime,,,
Dosou,6.1608,1.2078,Togo,TG,Maritime,,,
Migbodji,6.1647,1.2064,Togo,TG,Maritime,,,
Anfamé,6.1544,1.2678,Togo,TG,Maritime,,,
Avédji,6.1817,1.1750,Togo,TG,Maritime,,,
Tiglikpo,6.1758,1.1692,Togo,TG,Maritime,,,
Kanyi,6.1606,1.2972,Togo,TG,Maritime,,,
Klikamé,6.1725,1.2053,Togo,TG,Maritime,,,
Noubklo,6.1706,1.2078,Togo,TG,Maritime,,,
Apéyémé,6.1394,1.2392,Togo,TG,Maritime,,,
Sosou,6.1542,1.2622,Togo,TG,Maritime,,,
Bé,6.1411,1.2475,Togo,TG,Maritime,,,
Witi,6.1606,1.2333,Togo,TG,Maritime,,,
Kponou,6.1594,1.2861,Togo,TG,Maritime,,,
Adido Gomé,6.1794,1.1653,Togo,TG,Maritime,,,
Séou,6.1764,1.2131,Togo,TG,Maritime,,,
Flagajido,6.1800,1.2156,Togo,TG,Maritime,,,
Tisé,6.1617,1.2175,Togo,TG,Maritime,,,
Houndanou,6.1656,1.2228,Togo,TG,Maritime,,,
Kpésé,6.1603,1.2172,Togo,TG,Maritime,,,
Boyi,6.1656,1.2244,Togo,TG,Maritime,,,
Nyaso,6.1617,1.2242,Togo,TG,Maritime,,,
Kosivi,6.1656,1.2192,Togo,TG,Maritime,,,
Baguida,6.1675,1.3250,Togo,TG,Maritime,,,
Hotonou,6.1542,1.2564,Togo,TG,Maritime,,,
Bosou,6.1525,1.2531,Togo,TG,Maritime,,,
Manasé,6.1511,1.2511,Togo,TG,Maritime,,,
Totigan,6.1878,1.1883,Togo,TG,Maritime,,,
Gali,6.1656,1.2094,Togo,TG,Maritime,,,
