Chaguanas,10.5144,-61.4075,Trinidad And Tobago,TT,Chaguanas,admin,83489,83489
San Fernando,10.2833,-61.4667,Trinidad And Tobago,TT,San Fernando,admin,55419,55419
Couva,10.4167,-61.4500,Trinidad And Tobago,TT,Couva/Tabaquite/Talparo,admin,48858,48858
Port of Spain,10.6667,-61.5167,Trinidad And Tobago,TT,Port of Spain,primary,37074,37074
Laventille,10.6500,-61.4833,Trinidad And Tobago,TT,San Juan/Laventille,,21454,21454
Tunapuna,10.6333,-61.3833,Trinidad And Tobago,TT,Tunapuna/Piarco,admin,17650,17650
Siparia,10.1333,-61.5000,Trinidad And Tobago,TT,Siparia,admin,10254,10254
Arima,10.6374,-61.2823,Trinidad And Tobago,TT,Arima,admin,,
Malabar Settlement,10.6253,-61.2814,Trinidad And Tobago,TT,Arima,,,
Woodbrook,10.6628,-61.5231,Trinidad And Tobago,TT,Port of Spain,,,
Saint James,10.6717,-61.5345,Trinidad And Tobago,TT,Port of Spain,,,
Peru,10.6636,-61.5358,Trinidad And Tobago,TT,Port of Spain,,,
Mucurapo,10.6625,-61.5370,Trinidad And Tobago,TT,Port of Spain,,,
Corbeaux Town,10.6500,-61.5167,Trinidad And Tobago,TT,Port of Spain,,,
Gonzales,10.6586,-61.5036,Trinidad And Tobago,TT,San Juan/Laventille,,,
Boissiere Village,10.6667,-61.5167,Trinidad And Tobago,TT,Port of Spain,,,
Saint Clair,10.6704,-61.5217,Trinidad And Tobago,TT,Port of Spain,,,
East Dry River,10.6564,-61.5056,Trinidad And Tobago,TT,Port of Spain,,,
Coffee,10.2681,-61.4607,Trinidad And Tobago,TT,San Fernando,,,
Vistabella,10.2892,-61.4541,Trinidad And Tobago,TT,San Fernando,,,
Pleasantville,10.2687,-61.4548,Trinidad And Tobago,TT,San Fernando,,,
La Pique,10.2799,-61.4643,Trinidad And Tobago,TT,San Fernando,,,
Spring Vale,10.2867,-61.4625,Trinidad And Tobago,TT,San Fernando,,,
Mon Repos,10.2798,-61.4459,Trinidad And Tobago,TT,San Fernando,,,
Saint Joseph,10.2845,-61.4470,Trinidad And Tobago,TT,San Fernando,,,
Marabella,10.3062,-61.4467,Trinidad And Tobago,TT,San Fernando,,,
