Ashgabat,37.9500,58.3833,Turkmenistan,TM,Ahal,primary,1031992,1031992
Türkmenabat,39.1000,63.5667,Turkmenistan,TM,Lebap,admin,408906,408906
Daşoguz,41.8167,59.9831,Turkmenistan,TM,Daşoguz,admin,227184,227184
Mary,37.6000,61.8333,Turkmenistan,TM,Mary,admin,208682,208682
Balkanabat,39.5119,54.3650,Turkmenistan,TM,Balkan,admin,89785,89785
Serdar,38.9764,56.2758,Turkmenistan,TM,Balkan,,89582,89582
Türkmenbaşy,40.0230,52.9697,Turkmenistan,TM,Balkan,,68292,65152
Tejen,37.3786,60.4960,Turkmenistan,TM,Ahal,,67294,58005
Abadan,38.0517,58.2100,Turkmenistan,TM,Ahal,,40813,39481
Kaka,37.3503,59.6000,Turkmenistan,TM,Ahal,,38381,18545
Atamyrat,37.8167,65.2000,Turkmenistan,TM,Lebap,,38350,38350
Magtymguly,38.4333,56.2833,Turkmenistan,TM,Balkan,minor,8412,8412
Änew,37.8875,58.5160,Turkmenistan,TM,Ahal,admin,,
