Grand Turk,21.4664,-71.1360,Turks And Caicos Islands,TC,,primary,5801,3720
Five Cays Settlement,21.7605,-72.2645,Turks And Caicos Islands,TC,,,,
High Rock,21.7972,-72.2673,Turks And Caicos Islands,TC,,,,
Palm Grove,21.4521,-71.1435,Turks And Caicos Islands,TC,,,,
The Pillory,21.4809,-71.1486,Turks And Caicos Islands,TC,,,,
Kingston,21.7859,-72.1883,Turks And Caicos Islands,TC,,,,
The Bight Settlements,21.7796,-72.2042,Turks And Caicos Islands,TC,,,,
Blue Hills,21.8066,-72.2766,Turks And Caicos Islands,TC,,,,
Lower Bight,21.7813,-72.2105,Turks And Caicos Islands,TC,,,,
Wheeland,21.8140,-72.2821,Turks And Caicos Islands,TC,,,,
Corrinice,21.8196,-72.2872,Turks And Caicos Islands,TC,,,,
Cockburn Harbour,21.4929,-71.5330,Turks And Caicos Islands,TC,,,,
Highland House,21.4965,-71.4989,Turks And Caicos Islands,TC,,,,
The Flat,21.4992,-71.5335,Turks And Caicos Islands,TC,,,,
Fish-hawks Mark,21.4862,-71.5260,Turks And Caicos Islands,TC,,,,
South District,21.3191,-71.2134,Turks And Caicos Islands,TC,,,,
Balfour Town,21.3268,-71.2151,Turks And Caicos Islands,TC,,,,
