Kyiv,50.4500,30.5236,Ukraine,UA,"Kyyiv, Misto",primary,2963199,2963199
Kharkiv,50.0000,36.2292,Ukraine,UA,Kharkivs’ka Oblast’,admin,1446107,1446107
Odesa,46.4775,30.7326,Ukraine,UA,Odes’ka Oblast’,admin,1017699,1017699
Dnipro,48.4500,34.9833,Ukraine,UA,Dnipropetrovs’ka Oblast’,admin,1002111,1002111
Donetsk,48.0089,37.8042,Ukraine,UA,Donets’ka Oblast’,admin,929063,929063
Zaporizhzhia,47.8378,35.1383,Ukraine,UA,Zaporiz’ka Oblast’,admin,741717,741717
Lviv,49.8419,24.0315,Ukraine,UA,L’vivs’ka Oblast’,admin,724314,724314
Kryvyi Rih,47.9086,33.3433,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,629695,629695
Mykolaiv,46.9667,32.0000,Ukraine,UA,Mykolayivs’ka Oblast’,admin,498748,498748
Mariupol,47.1306,37.5639,Ukraine,UA,Donets’ka Oblast’,,449498,449498
Sevastopol,44.6000,33.5333,Ukraine,UA,"Sevastopol’, Misto",admin,428753,428753
Luhansk,48.5833,39.3333,Ukraine,UA,Luhans’ka Oblast’,admin,417990,417990
Vinnytsia,49.2372,28.4672,Ukraine,UA,Vinnyts’ka Oblast’,admin,371855,371855
Makiivka,48.0556,37.9611,Ukraine,UA,Donets’ka Oblast’,,347376,347376
Simferopol,44.9484,34.1000,Ukraine,UA,"Krym, Avtonomna Respublika",admin,341799,341799
Poltava,49.5744,34.5686,Ukraine,UA,Poltavs’ka Oblast’,admin,317847,286588
Chernihiv,51.4939,31.2947,Ukraine,UA,Chernihivs’ka Oblast’,admin,294522,294522
Kherson,46.6333,32.6000,Ukraine,UA,Khersons’ka Oblast’,admin,291428,291428
Cherkasy,49.4444,32.0597,Ukraine,UA,Cherkas’ka Oblast’,admin,276360,276360
Khmelnytskyi,49.4200,27.0000,Ukraine,UA,Khmel’nyts’ka Oblast’,admin,274176,274176
Zhytomyr,50.2544,28.6578,Ukraine,UA,Zhytomyrs’ka Oblast’,admin,266936,266936
Chernivtsi,48.2908,25.9344,Ukraine,UA,Chernivets’ka Oblast’,admin,266550,266550
Sumy,50.9068,34.7992,Ukraine,UA,Sums’ka Oblast’,admin,265758,265758
Horlivka,48.3336,38.0925,Ukraine,UA,Donets’ka Oblast’,minor,256714,256714
Rivne,50.6197,26.2514,Ukraine,UA,Rivnens’ka Oblast’,admin,245630,245630
Ivano-Frankivsk,48.9228,24.7106,Ukraine,UA,Ivano-Frankivs’ka Oblast’,admin,236602,236602
Kamianske,48.5076,34.6132,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,235066,235066
Kremenchuk,49.0775,33.4239,Ukraine,UA,Poltavs’ka Oblast’,minor,234073,234073
Kropyvnytskyi,48.5103,32.2667,Ukraine,UA,Kirovohrads’ka Oblast’,admin,227413,227413
Ternopil,49.5667,25.6000,Ukraine,UA,Ternopil’s’ka Oblast’,admin,218653,218653
Lutsk,50.7478,25.3244,Ukraine,UA,Volyns’ka Oblast’,admin,216505,216505
Bila Tserkva,49.7956,30.1167,Ukraine,UA,Kyyivs’ka Oblast’,minor,208944,208944
Kramatorsk,48.7208,37.5556,Ukraine,UA,Donets’ka Oblast’,,159445,159445
Melitopol,46.8333,35.3667,Ukraine,UA,Zaporiz’ka Oblast’,minor,154992,154992
Sievierodonetsk,48.9500,38.4833,Ukraine,UA,Luhans’ka Oblast’,minor,150000,150000
Drohobych,49.3500,23.5000,Ukraine,UA,L’vivs’ka Oblast’,minor,124269,79406
Khrustalnyi,48.1214,38.9453,Ukraine,UA,Luhans’ka Oblast’,,124000,124000
Uzhhorod,48.6239,22.2950,Ukraine,UA,Zakarpats’ka Oblast’,admin,114897,114897
Berdiansk,46.7598,36.7845,Ukraine,UA,Zaporiz’ka Oblast’,minor,114205,114205
Sloviansk,48.8700,37.6250,Ukraine,UA,Donets’ka Oblast’,,113196,113196
Nikopol,47.5772,34.3575,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,112102,112102
Yevpatoriia,45.2000,33.3583,Ukraine,UA,"Krym, Avtonomna Respublika",,106158,106158
Pavlohrad,48.5200,35.8700,Ukraine,UA,Dnipropetrovs’ka Oblast’,minor,106082,106082
Alchevsk,48.4672,38.7983,Ukraine,UA,Luhans’ka Oblast’,minor,105398,105398
Konotop,51.2369,33.2027,Ukraine,UA,Sums’ka Oblast’,minor,103547,91798
Brovary,50.5114,30.7903,Ukraine,UA,Kyyivs’ka Oblast’,minor,102856,102856
Kamianets-Podilskyi,48.6806,26.5806,Ukraine,UA,Khmel’nyts’ka Oblast’,minor,100462,100462
Lysychansk,48.9169,38.4306,Ukraine,UA,Luhans’ka Oblast’,,96161,96161
Dovzhansk,48.0846,39.6516,Ukraine,UA,Luhans’ka Oblast’,minor,95153,95153
Mukacheve,48.4414,22.7136,Ukraine,UA,Zakarpats’ka Oblast’,minor,86257,86257
