Montevideo,-34.8667,-56.1667,Uruguay,UY,Montevideo,primary,1319108,1319108
Salto,-31.3883,-57.9606,Uruguay,UY,Salto,admin,124878,124878
Ciudad de la Costa,-34.8167,-55.9500,Uruguay,UY,Canelones,,112449,112449
Rivera,-30.9025,-55.5506,Uruguay,UY,Rivera,admin,78900,78900
Paysandú,-32.3200,-58.0756,Uruguay,UY,Paysandú,admin,76429,76429
Las Piedras,-34.7167,-56.2167,Uruguay,UY,Canelones,,71268,71268
Melo,-32.3595,-54.1800,Uruguay,UY,Cerro Largo,admin,55494,51023
Maldonado,-34.9100,-54.9600,Uruguay,UY,Maldonado,admin,55478,48277
Tacuarembó,-31.7100,-55.9800,Uruguay,UY,Tacuarembó,admin,54277,51854
Mercedes,-33.2500,-58.0319,Uruguay,UY,Soriano,admin,41974,41974
Artigas,-30.4667,-56.4667,Uruguay,UY,Artigas,admin,40658,40658
Minas,-34.3667,-55.2333,Uruguay,UY,Lavalleja,admin,38446,38446
San José,-34.3333,-56.7167,Uruguay,UY,San José,admin,36747,36747
Durazno,-33.3833,-56.5167,Uruguay,UY,Durazno,admin,34372,34372
Florida,-34.1000,-56.2167,Uruguay,UY,Florida,admin,33640,33640
Barros Blancos,-34.7542,-56.0042,Uruguay,UY,Canelones,,31650,31650
Colonia del Sacramento,-34.4714,-57.8442,Uruguay,UY,Colonia,admin,26231,26231
Treinta y Tres,-33.2308,-54.3822,Uruguay,UY,Treinta y Tres,admin,25477,25477
Rocha,-34.4833,-54.3500,Uruguay,UY,Rocha,admin,25422,25422
Fray Bentos,-33.1333,-58.3000,Uruguay,UY,Río Negro,admin,24406,24406
Canelones,-34.5228,-56.2778,Uruguay,UY,Canelones,admin,19865,19865
