Caracas,10.5000,-66.9333,Venezuela,VE,Distrito Capital,primary,1943901,1943901
Maracaibo,10.6333,-71.6333,Venezuela,VE,Zulia,admin,1551539,1551539
Valencia,10.1667,-68.0000,Venezuela,VE,Carabobo,admin,1484430,1484430
Barquisimeto,10.0678,-69.3467,Venezuela,VE,Lara,admin,1059092,1059092
Ciudad Guayana,8.3596,-62.6517,Venezuela,VE,Bolívar,minor,751331,751331
Catia La Mar,10.6000,-67.0333,Venezuela,VE,Vargas,minor,661897,661897
Ciudad Bolívar,8.1167,-63.5500,Venezuela,VE,Bolívar,admin,567953,567953
Maturín,9.7457,-63.1832,Venezuela,VE,Monagas,admin,542259,542259
Santa Teresa del Tuy,10.2333,-66.6500,Venezuela,VE,Miranda,minor,525321,525321
Barcelona,10.1333,-64.6833,Venezuela,VE,Anzoátegui,admin,448016,448016
San Cristóbal,7.7714,-72.2261,Venezuela,VE,Táchira,admin,438798,246583
Maracay,10.2469,-67.5958,Venezuela,VE,Aragua,admin,407109,407109
Cumaná,10.4500,-64.1667,Venezuela,VE,Sucre,admin,374706,374706
Cabimas,10.4000,-71.4333,Venezuela,VE,Zulia,minor,351735,351735
Puerto La Cruz,10.2167,-64.6167,Venezuela,VE,Anzoátegui,minor,306261,306261
Mérida,8.5833,-71.1333,Venezuela,VE,Mérida,admin,300000,300000
Punto Fijo,11.7167,-70.1833,Venezuela,VE,Falcón,minor,287558,287558
Barinas,8.6150,-70.1985,Venezuela,VE,Barinas,admin,284289,238522
Coro,11.3950,-69.6816,Venezuela,VE,Falcón,admin,284266,284266
La Guaira,10.6000,-66.9331,Venezuela,VE,Vargas,admin,275000,275000
Turmero,10.2283,-67.4753,Venezuela,VE,Aragua,minor,254880,254880
Los Teques,10.3411,-67.0406,Venezuela,VE,Miranda,admin,251200,251200
Baruta,10.4335,-66.8754,Venezuela,VE,Miranda,minor,240755,240755
Cúa,10.1667,-66.8833,Venezuela,VE,Miranda,minor,214823,214823
La Victoria,10.2278,-67.3336,Venezuela,VE,Aragua,minor,214492,214492
El Tigre,8.8858,-64.2611,Venezuela,VE,Anzoátegui,minor,213524,213524
Puerto Cabello,10.4667,-68.0167,Venezuela,VE,Carabobo,minor,209080,209080
Guarenas,10.4739,-66.5383,Venezuela,VE,Miranda,minor,208663,208663
Guacara,10.2261,-67.8770,Venezuela,VE,Carabobo,minor,200212,200212
Tocuyito,10.0889,-68.0922,Venezuela,VE,Carabobo,minor,197446,197446
Acarigua,9.5597,-69.2019,Venezuela,VE,Portuguesa,minor,195637,195637
Guanare,9.0436,-69.7489,Venezuela,VE,Portuguesa,admin,192644,192644
Valera,9.3206,-70.6078,Venezuela,VE,Trujillo,minor,191167,93756
Guatire,10.4717,-66.5406,Venezuela,VE,Miranda,minor,187262,187262
San Diego,10.2558,-67.9539,Venezuela,VE,Carabobo,minor,187215,187215
Carúpano,10.6722,-63.2403,Venezuela,VE,Sucre,minor,173877,173877
Santa Rita,10.2003,-67.5514,Venezuela,VE,Aragua,minor,169158,169158
Anaco,9.4333,-64.4667,Venezuela,VE,Anzoátegui,minor,162704,162704
Palo Negro,10.1600,-67.5582,Venezuela,VE,Aragua,minor,153706,153706
Ocumare del Tuy,10.1136,-66.7814,Venezuela,VE,Miranda,minor,150000,150000
Villa de Cura,10.0386,-67.4894,Venezuela,VE,Aragua,minor,145098,145098
Yaritagua,10.0800,-69.1261,Venezuela,VE,Yaracuy,minor,140256,140256
Calabozo,8.9219,-67.4283,Venezuela,VE,Guárico,minor,131989,131989
Táriba,7.8167,-72.2167,Venezuela,VE,Táchira,minor,128590,128590
Guasdualito,7.2467,-70.7292,Venezuela,VE,Apure,minor,128025,128025
Machiques,10.0667,-72.5667,Venezuela,VE,Zulia,minor,122734,122734
San Fernando,7.8940,-67.4730,Venezuela,VE,Apure,admin,122701,78779
Cagua,10.1875,-67.4611,Venezuela,VE,Aragua,minor,122571,122571
Ciudad Ojeda,10.2000,-71.3000,Venezuela,VE,Zulia,minor,122124,122124
Porlamar,10.9556,-63.8478,Venezuela,VE,Nueva Esparta,minor,120924,120924
San Carlos,9.6500,-68.5833,Venezuela,VE,Cojedes,admin,120000,120000
Charallave,10.2431,-66.8622,Venezuela,VE,Miranda,minor,117707,117707
Valle de La Pascua,9.2033,-66.0103,Venezuela,VE,Guárico,minor,115902,115902
Carora,10.1692,-70.0783,Venezuela,VE,Lara,minor,112600,112600
Santa Lucía,10.2606,-66.6639,Venezuela,VE,Miranda,minor,112357,112357
Quíbor,9.9281,-69.5778,Venezuela,VE,Lara,minor,110536,110536
Socopó,8.2322,-70.8206,Venezuela,VE,Barinas,minor,110512,110512
El Limón,10.3059,-67.6321,Venezuela,VE,Aragua,minor,106206,106206
Rubio,7.7000,-72.3500,Venezuela,VE,Táchira,minor,95041,95041
Cantaura,9.3005,-64.3564,Venezuela,VE,Anzoátegui,minor,89552,89552
La Grita,8.1333,-71.9833,Venezuela,VE,Táchira,minor,88450,88450
Maiquetía,10.5958,-66.9772,Venezuela,VE,Vargas,minor,87909,87909
San Juan de los Morros,9.9010,-67.3540,Venezuela,VE,Guárico,admin,87739,87739
Tucupita,9.0575,-62.0452,Venezuela,VE,Delta Amacuro,admin,86487,86487
Puerto Ayacucho,5.6631,-67.6264,Venezuela,VE,Amazonas,admin,80000,80000
San Carlos del Zulia,9.0000,-71.9500,Venezuela,VE,Zulia,minor,80000,80000
San Felipe,10.3353,-68.7458,Venezuela,VE,Yaracuy,admin,76766,76766
Cabudare,10.0331,-69.2633,Venezuela,VE,Lara,minor,70578,70578
Caripito,10.1110,-63.1048,Venezuela,VE,Monagas,minor,64955,64955
Zaraza,9.3394,-65.3167,Venezuela,VE,Guárico,minor,62027,62027
San Antonio del Táchira,7.8145,-72.4431,Venezuela,VE,Táchira,minor,61630,61630
Upata,8.0204,-62.4100,Venezuela,VE,Bolívar,minor,53685,53264
Trujillo,9.3667,-70.4331,Venezuela,VE,Trujillo,admin,50353,38110
Sanare,9.7822,-69.7931,Venezuela,VE,Lara,minor,48764,48764
Santa Cruz de Los Taques,11.8231,-70.2535,Venezuela,VE,Falcón,minor,41579,41579
El Tocuyo,9.7822,-69.7931,Venezuela,VE,Lara,minor,41327,41327
Altagracia de Orituco,9.8504,-66.3800,Venezuela,VE,Guárico,minor,40052,28802
Lecherías,10.1889,-64.6951,Venezuela,VE,Anzoátegui,minor,37829,37829
La Asunción,11.0333,-63.8833,Venezuela,VE,Nueva Esparta,admin,35084,35084
Santa Rita,10.5367,-71.5108,Venezuela,VE,Zulia,minor,31810,10380
Sabaneta,8.7522,-69.9325,Venezuela,VE,Barinas,minor,27850,27850
Puerto Píritu,10.0667,-65.0500,Venezuela,VE,Anzoátegui,minor,25981,25981
La Colonia Tovar,10.4167,-67.2833,Venezuela,VE,Aragua,minor,21000,21000
Tucacas,10.7978,-68.3175,Venezuela,VE,Falcón,minor,13901,13901
Onoto,9.5958,-65.1897,Venezuela,VE,Anzoátegui,minor,11378,11378
San José de Aerocuar,10.6014,-63.3278,Venezuela,VE,Sucre,minor,11162,11162
Uracoa,8.9996,-62.3516,Venezuela,VE,Monagas,minor,9625,9625
Bruzual,8.0519,-69.3292,Venezuela,VE,Apure,minor,7370,7370
Mucuchíes,8.7500,-70.9167,Venezuela,VE,Mérida,minor,5900,5900
Mapire,7.7411,-64.7107,Venezuela,VE,Anzoátegui,minor,5326,5326
San Fernando de Atabapo,4.0500,-67.7000,Venezuela,VE,Amazonas,minor,4200,4200
San Carlos de Río Negro,1.9200,-67.0611,Venezuela,VE,Amazonas,minor,2916,2916
Maroa,2.7364,-67.5625,Venezuela,VE,Amazonas,minor,2026,2026
La Esmeralda,3.1738,-65.5466,Venezuela,VE,Amazonas,minor,150,149
Chacao,10.4960,-66.8535,Venezuela,VE,Miranda,minor,,
San Francisco,10.5545,-71.7061,Venezuela,VE,Zulia,minor,,
Pampatar,10.9994,-63.7944,Venezuela,VE,Nueva Esparta,minor,,
Petare,10.4768,-66.8079,Venezuela,VE,Miranda,minor,,
San Antonio de Los Altos,10.3744,-66.9669,Venezuela,VE,Miranda,minor,,
Los Guayos,10.1833,-67.9333,Venezuela,VE,Carabobo,minor,,
Naguanagua,10.2533,-68.0131,Venezuela,VE,Carabobo,minor,,
El Hatillo,10.4392,-66.8300,Venezuela,VE,Miranda,minor,,
El Valle del Espíritu Santo,10.9832,-63.8829,Venezuela,VE,Nueva Esparta,minor,,
Juangriego,11.0833,-63.9667,Venezuela,VE,Nueva Esparta,minor,,
Palmira,7.8373,-72.2280,Venezuela,VE,Táchira,minor,,
Capacho Nuevo,7.8266,-72.3062,Venezuela,VE,Táchira,minor,,
Capacho Viejo,7.8281,-72.3203,Venezuela,VE,Táchira,minor,,
Santa Cruz,10.1800,-67.5118,Venezuela,VE,Aragua,minor,,
Motatán,9.3931,-70.5934,Venezuela,VE,Trujillo,minor,,
Mariara,10.2953,-67.7177,Venezuela,VE,Carabobo,minor,,
El Junko,10.4725,-67.0836,Venezuela,VE,Vargas,minor,,
La Plaza de Paraguachí,11.1076,-63.8594,Venezuela,VE,Nueva Esparta,minor,,
Santa Ana,11.0683,-63.9224,Venezuela,VE,Nueva Esparta,minor,,
San Juan Bautista,11.0142,-63.9438,Venezuela,VE,Nueva Esparta,minor,,
San Joaquín,10.2630,-67.7858,Venezuela,VE,Carabobo,minor,,
San Mateo,10.2133,-67.4225,Venezuela,VE,Aragua,minor,,
Carvajal,9.3076,-70.5897,Venezuela,VE,Trujillo,minor,,
Carrizal,10.3514,-66.9936,Venezuela,VE,Miranda,minor,,
San Josecito,7.6611,-72.2201,Venezuela,VE,Táchira,minor,,
Ureña,7.9183,-72.4467,Venezuela,VE,Táchira,minor,,
Caraballeda,10.6122,-66.8519,Venezuela,VE,Vargas,minor,,
Naiguatá,10.6203,-66.7383,Venezuela,VE,Vargas,minor,,
La Sabana,10.6139,-66.3902,Venezuela,VE,Vargas,minor,,
Macuto,10.6067,-66.8925,Venezuela,VE,Vargas,minor,,
Carayaca,10.5300,-67.1194,Venezuela,VE,Vargas,minor,,
El Consejo,10.2442,-67.2450,Venezuela,VE,Aragua,minor,,
Cojedes,9.6167,-68.9167,Venezuela,VE,Cojedes,minor,,
Duaca,10.2855,-69.1624,Venezuela,VE,Lara,minor,,
Pampán,9.4512,-70.4759,Venezuela,VE,Trujillo,minor,,
Guanta,10.2345,-64.5955,Venezuela,VE,Anzoátegui,minor,,
Las Tejerías,10.2542,-67.1733,Venezuela,VE,Aragua,minor,,
San Francisco de Yare,10.1833,-66.7500,Venezuela,VE,Miranda,minor,,
Boraure,10.2475,-68.7697,Venezuela,VE,Yaracuy,minor,,
Guama,10.2646,-68.8197,Venezuela,VE,Yaracuy,minor,,
San Pablo,10.2493,-68.8443,Venezuela,VE,Yaracuy,minor,,
Tovar,8.3667,-71.7000,Venezuela,VE,Mérida,minor,,
Agua Blanca,9.6833,-68.9667,Venezuela,VE,Portuguesa,minor,,
Araure,9.5667,-69.2167,Venezuela,VE,Portuguesa,minor,,
Betijoque,9.3812,-70.7328,Venezuela,VE,Trujillo,minor,,
Escuque,9.2500,-70.7500,Venezuela,VE,Trujillo,minor,,
Urachiche,10.1333,-69.0000,Venezuela,VE,Yaracuy,minor,,
Sabana de Parra,10.1211,-69.0364,Venezuela,VE,Yaracuy,minor,,
El Vigía,8.6135,-71.6570,Venezuela,VE,Mérida,minor,,
Tinaquillo,9.9167,-68.3000,Venezuela,VE,Cojedes,minor,,
Tabay,8.6317,-71.0783,Venezuela,VE,Mérida,minor,,
Morón,10.4872,-68.2008,Venezuela,VE,Carabobo,minor,,
Güigüe,10.0833,-67.7833,Venezuela,VE,Carabobo,minor,,
San Pedro de Coche,10.7818,-63.9958,Venezuela,VE,Nueva Esparta,minor,,
Michelena,7.9667,-72.2333,Venezuela,VE,Táchira,minor,,
Bejuma,10.2500,-68.2000,Venezuela,VE,Carabobo,minor,,
Montalbán,10.2131,-68.3267,Venezuela,VE,Carabobo,minor,,
San José de Barlovento,10.3000,-66.0000,Venezuela,VE,Miranda,minor,,
Cordero,7.8563,-72.1824,Venezuela,VE,Táchira,minor,,
Chivacoa,10.1600,-68.9097,Venezuela,VE,Yaracuy,minor,,
Punta de Mata,9.6913,-63.6092,Venezuela,VE,Monagas,minor,,
Bailadores,8.2535,-71.8282,Venezuela,VE,Mérida,minor,,
Tía Juana,10.2593,-71.3634,Venezuela,VE,Zulia,minor,,
