Sanaa,15.3500,44.2000,Yemen,YE,Amānat al ‘Āşimah,primary,2957000,2957000
Ta‘izz,13.5789,44.0219,Yemen,YE,Ta‘izz,admin,596672,596672
Al Ḩudaydah,14.8022,42.9511,Yemen,YE,Al Ḩudaydah,admin,548433,548433
Aden,12.8000,45.0333,Yemen,YE,‘Adan,admin,507355,507355
Ibb,13.9759,44.1709,Yemen,YE,Ibb,,234837,234837
Ibb,13.9667,44.1667,Yemen,YE,Ibb,admin,225611,225611
Dhamār,14.5500,44.4017,Yemen,YE,Dhamār,admin,160114,160114
Al Mukallā,14.5333,49.1333,Yemen,YE,Ḩaḑramawt,admin,144137,144137
Tarīm,16.0500,49.0000,Yemen,YE,Ḩaḑramawt,minor,105552,105552
Ash Shaykh ‘Uthmān,12.8866,45.0279,Yemen,YE,‘Adan,minor,105248,105248
Zinjibār,13.1283,45.3803,Yemen,YE,Abyan,admin,70801,70801
Şa‘dah,16.9358,43.7644,Yemen,YE,Şa‘dah,admin,70203,70203
Say’ūn,15.9430,48.7873,Yemen,YE,Ḩaḑramawt,minor,68747,68747
Ash Shiḩr,14.7608,49.6069,Yemen,YE,Ḩaḑramawt,minor,68313,68313
Zabīd,14.2000,43.3167,Yemen,YE,Al Ḩudaydah,minor,50781,50781
Ḩajjah,15.6950,43.5975,Yemen,YE,Ḩajjah,admin,46568,46568
Bājil,15.0583,43.2850,Yemen,YE,Al Ḩudaydah,minor,46005,46005
Radā‘,14.4295,44.8341,Yemen,YE,Al Bayḑā’,minor,45233,45233
Bayt al Faqīh,14.5167,43.3167,Yemen,YE,Al Ḩudaydah,minor,41652,41652
Al Qā‘idah,13.7569,44.1392,Yemen,YE,Ibb,,39254,39254
Al Bayḑā’,13.9790,45.5740,Yemen,YE,Al Bayḑā’,admin,37821,37821
‘Ataq,14.5500,46.8000,Yemen,YE,Shabwah,admin,37315,37315
Yarīm,14.2978,44.3778,Yemen,YE,Ibb,minor,34805,34805
Laḩij,13.0500,44.8833,Yemen,YE,Laḩij,admin,30661,30661
Ja‘ār,13.2167,45.3000,Yemen,YE,Abyan,minor,29495,29495
Al Ghayz̧ah,16.2394,52.1638,Yemen,YE,Al Mahrah,admin,27404,20000
Ma‘bar,14.7939,44.2936,Yemen,YE,Dhamār,minor,24707,24707
Ma’rib,15.4228,45.3375,Yemen,YE,Ma’rib,admin,16794,16794
Ad Dīs ash Sharqīyah,14.8833,49.8667,Yemen,YE,Ḩaḑramawt,minor,16614,16614
Jiblah,13.9167,44.1500,Yemen,YE,Ibb,minor,15431,15431
Khamir,15.9900,43.9500,Yemen,YE,‘Amrān,minor,15333,15333
Mocha,13.3167,43.2500,Yemen,YE,Ta‘izz,minor,14562,14562
Raydah,15.8233,44.0386,Yemen,YE,‘Amrān,minor,13971,13971
Ḩadībū,12.6519,54.0239,Yemen,YE,Arkhabīl Suquţrá,admin,11396,8545
Al Maḩwīt,15.4694,43.5453,Yemen,YE,Al Maḩwīt,admin,10593,10593
Ar Rawḑah,14.4800,47.2700,Yemen,YE,Shabwah,minor,6649,6649
Ḑawrān ad Daydah,14.7608,44.1904,Yemen,YE,Dhamār,minor,5695,5695
Qalansīyah,12.6833,53.4833,Yemen,YE,Arkhabīl Suquţrá,minor,4741,4741
Markaz Mudhaykirah,13.8855,43.9672,Yemen,YE,Ibb,minor,1245,1245
Sayḩūt,15.2105,51.2454,Yemen,YE,Al Mahrah,minor,189,189
Crater,12.7775,45.0328,Yemen,YE,‘Adan,minor,,
At Tawāhī,12.7847,44.9802,Yemen,YE,‘Adan,minor,,
Al Manşūrah,12.8602,44.9817,Yemen,YE,‘Adan,minor,,
Al Ma‘allā’,12.7899,45.0024,Yemen,YE,‘Adan,minor,,
Al Masālīyah,13.5320,43.9956,Yemen,YE,Ta‘izz,minor,,
‘Amrān,15.6594,43.9439,Yemen,YE,‘Amrān,admin,,
Al Jabīn,14.7040,43.5990,Yemen,YE,Raymah,admin,,
Aḑ Ḑāli‘,13.6957,44.7314,Yemen,YE,Aḑ Ḑāli‘,admin,,
Al Ḩazm,16.1641,44.7769,Yemen,YE,Al Jawf,admin,,
Al Misrākh,13.4606,44.0204,Yemen,YE,Ta‘izz,minor,,
Khawr Maksar,12.8123,45.0334,Yemen,YE,‘Adan,minor,,
Banī an Nahārī,15.6398,43.5563,Yemen,YE,Ḩajjah,minor,,
Dhī as Sufāl,13.8345,44.1147,Yemen,YE,Ibb,minor,,
Qaryat al Qābil,15.4503,44.1277,Yemen,YE,Amānat al ‘Āşimah,minor,,
Ar Rawḑah,15.4325,44.2240,Yemen,YE,Amānat al ‘Āşimah,minor,,
Ḩawrah,13.3575,44.1458,Yemen,YE,Ta‘izz,minor,,
Khayrān,16.0219,43.3786,Yemen,YE,Ḩajjah,minor,,
Banī al ‘Awwām,15.5812,43.5873,Yemen,YE,Ḩajjah,minor,,
Al Maḩābishah,15.9476,43.4359,Yemen,YE,Ḩajjah,minor,,
Dār an Nāşir,13.5571,44.0152,Yemen,YE,Ta‘izz,minor,,
Ar Rubū‘,13.7802,43.8690,Yemen,YE,Ta‘izz,minor,,
Sūq Shamar,15.8850,43.3681,Yemen,YE,Ḩajjah,minor,,
Al ‘Ayn,13.3300,44.0921,Yemen,YE,Ta‘izz,minor,,
Al Makhādir,14.1222,44.1980,Yemen,YE,Ibb,minor,,
Aş Şalw,13.3289,44.2171,Yemen,YE,Ta‘izz,minor,,
Qaryat ad Da‘īs,13.9877,44.2749,Yemen,YE,Ibb,minor,,
As Sayyānī,13.8427,44.1739,Yemen,YE,Ibb,minor,,
Waḑarah,15.7107,43.4832,Yemen,YE,Ḩajjah,minor,,
Z̧almah al ‘Ulyā,14.1023,44.0940,Yemen,YE,Ibb,minor,,
Al Miftāḩ,15.9743,43.4638,Yemen,YE,Ḩajjah,minor,,
Ḩayfān,13.3178,44.2801,Yemen,YE,Ta‘izz,minor,,
Yufrus,13.4553,43.9470,Yemen,YE,Ta‘izz,minor,,
Al ‘Udayn,13.9692,43.9967,Yemen,YE,Ibb,minor,,
Ar Rawnah,13.7564,43.8029,Yemen,YE,Ta‘izz,minor,,
Ash Shaghādirah,15.6200,43.5206,Yemen,YE,Ḩajjah,minor,,
As Sarīr,13.7383,44.6839,Yemen,YE,Aḑ Ḑāli‘,minor,,
Kusmah,14.5817,43.6368,Yemen,YE,Raymah,minor,,
Sūq ar Rubū‘,14.5115,44.0151,Yemen,YE,Dhamār,minor,,
Al Nashmah,13.3903,43.9683,Yemen,YE,Ta‘izz,minor,,
Washḩah,16.3077,43.4107,Yemen,YE,Ḩajjah,minor,,
As Saddah,14.1221,44.4214,Yemen,YE,Ibb,minor,,
Ash Shāhil,15.8666,43.4049,Yemen,YE,Ḩajjah,minor,,
Kuḩlān ‘Affār,15.7331,43.7190,Yemen,YE,Ḩajjah,minor,,
Bayt ‘Adhāqah,15.6158,43.7023,Yemen,YE,‘Amrān,minor,,
Ar Riḑā’ī,14.0171,44.3941,Yemen,YE,Ibb,minor,,
Al Jurbah,13.7915,45.1589,Yemen,YE,Laḩij,minor,,
Ad Dann,14.3518,43.8528,Yemen,YE,Dhamār,minor,,
Raşad,13.7122,45.3032,Yemen,YE,Abyan,minor,,
An Naz̧īr,16.9092,43.2623,Yemen,YE,Şa‘dah,minor,,
Madīnat Lab‘ūs,13.8667,45.2500,Yemen,YE,Laḩij,minor,,
Al Jamīmah,16.0179,43.5965,Yemen,YE,Ḩajjah,minor,,
Banī Ḩujjāj,15.4168,43.3193,Yemen,YE,Al Maḩwīt,minor,,
Al Mirwāḩ,15.4722,43.4294,Yemen,YE,Al Maḩwīt,minor,,
Ḩazm al ‘Udayn,14.0274,44.0053,Yemen,YE,Ibb,minor,,
Ar Raḑmah,14.2197,44.5866,Yemen,YE,Ibb,minor,,
Aş Şafaqayn,15.3792,43.4205,Yemen,YE,Al Maḩwīt,minor,,
Mabyan,15.7377,43.5570,Yemen,YE,Ḩajjah,minor,,
An Nādirah,14.0963,44.4756,Yemen,YE,Ibb,minor,,
