Lusaka,-15.4167,28.2833,Zambia,ZM,Lusaka,primary,1742979,1742979
Ndola,-12.9683,28.6337,Zambia,ZM,Copperbelt,admin,528330,528330
Kitwe,-12.8208,28.2119,Zambia,ZM,Copperbelt,,504194,504194
Mazabuka,-15.8667,27.7667,Zambia,ZM,Southern,,203219,203219
Kasama,-10.1996,31.1799,Zambia,ZM,Northern,admin,200000,113000
Mansa,-11.1822,28.8833,Zambia,ZM,Luapula,admin,129185,129185
Kabwe,-14.4333,28.4500,Zambia,ZM,Central,admin,117517,117517
Chipata,-13.6386,32.6453,Zambia,ZM,Eastern,admin,98416,98416
Solwezi,-12.1833,26.4000,Zambia,ZM,North-Western,admin,65000,38587
Mongu,-15.2796,23.1200,Zambia,ZM,Western,admin,52534,37663
Choma,-16.8095,26.9700,Zambia,ZM,Southern,admin,46746,37902
Chinsali,-10.5496,32.0600,Zambia,ZM,Muchinga,admin,14015,950
