Harare,-17.8292,31.0522,Zimbabwe,ZW,Harare,primary,2150000,2150000
Bulawayo,-20.1667,28.5667,Zimbabwe,ZW,Bulawayo,admin,653337,653337
Chitungwiza,-18.0000,31.1000,Zimbabwe,ZW,Harare,,340360,321782
Mutare,-18.9728,32.6694,Zimbabwe,ZW,Manicaland,admin,188243,188243
Gweru,-19.4580,29.8200,Zimbabwe,ZW,Midlands,admin,141260,141260
Kwekwe,-18.9167,29.9833,Zimbabwe,ZW,Midlands,,93072,93072
Kadoma,-18.3500,29.9167,Zimbabwe,ZW,Mashonaland West,,79174,33626
Masvingo,-20.0744,30.8328,Zimbabwe,ZW,Masvingo,admin,72527,72527
Chinhoyi,-17.3500,30.2000,Zimbabwe,ZW,Mashonaland West,admin,56794,56794
Marondera,-18.1833,31.5500,Zimbabwe,ZW,Mashonaland East,admin,52283,52283
Bindura,-17.3000,31.3333,Zimbabwe,ZW,Mashonaland Central,admin,46275,46275
Hwange,-18.3647,26.5000,Zimbabwe,ZW,Matabeleland North,,42581,42581
Beitbridge,-22.2167,30.0000,Zimbabwe,ZW,Matabeleland South,,41767,41767
Zvishavane,-20.3333,30.0333,Zimbabwe,ZW,Masvingo,,35229,35229
Victoria Falls,-17.9333,25.8333,Zimbabwe,ZW,Matabeleland North,,33060,33060
Redcliff,-19.0333,29.7833,Zimbabwe,ZW,Midlands,,32346,32346
Chiredzi,-21.0496,31.6600,Zimbabwe,ZW,Masvingo,,28205,7428
Gwanda,-20.9450,29.0250,Zimbabwe,ZW,Matabeleland South,admin,14450,14450
Lupane,-18.9315,27.8070,Zimbabwe,ZW,Matabeleland North,admin,,
